File name,NFIQ2 score,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
1F-L1-1.bmp,65,77.415,170.16,72,71354,3,6,2,4,5,10,10,10,15,5,0.46875,0.17803,35,72,0.5,0.84722,133.38,0,11,2,3,4,4,7,12,9,18,0.72678,0.28424,170.16,170.16,0,2,5,3,4,1,3,5,11,74,0.8836,0.13539,29,35,27,23,24,12,12,14,8,10,0.15548,0.2358,0.84569,273.16,10,26,29,37,126,49,16,14,0,0,1.0655,0.57623
1F-L1-2.bmp,67,75.797,170.39,68,74333,2,3,6,4,8,10,8,13,15,3,0.44689,0.14555,36,68,0.69118,0.94118,139.25,0,3,3,4,7,8,6,8,11,22,0.80337,0.17481,170.39,170.39,0,1,1,4,4,1,7,4,20,66,0.88972,0.10513,38,33,41,21,21,16,6,5,5,5,0.099039,0.16765,0.83022,272.31,4,39,29,30,100,42,23,11,0,0,1.0604,0.57019
1F-L1-3.bmp,70,78.598,165.58,51,76064,0,4,2,8,3,8,9,18,14,3,0.46383,0.14351,30,51,0.56863,0.92157,133.2,0,2,1,3,5,5,9,13,5,26,0.82459,0.1501,165.58,165.58,0,0,5,3,2,0,8,7,10,73,0.89054,0.1108,40,32,37,15,13,9,9,6,6,6,0.11153,0.19106,0.83475,277.97,6,23,14,53,90,35,27,4,0,0,1.0415,0.54583
1F-L1-4.bmp,57,76.732,167.1,76,76264,1,2,6,6,9,7,11,9,12,9,0.49758,0.20888,40,76,0.52632,0.90789,136.47,0,7,4,4,2,8,8,7,12,20,0.77537,0.22036,167.1,167.1,1,1,1,2,4,1,3,6,13,76,0.89977,0.11698,34,34,39,34,27,15,10,5,8,5,0.11204,0.18209,0.84587,285.9,13,38,24,37,105,52,19,9,0,0,1.0057,0.37535
1F-L1-5.bmp,64,76.598,169.29,61,72858,0,1,1,8,8,7,11,11,15,7,0.49996,0.18622,36,61,0.37705,0.93443,135.11,0,6,0,1,5,5,10,10,12,20,0.78684,0.22477,169.29,169.29,0,0,5,5,1,0,1,5,4,87,0.90287,0.11456,24,37,47,37,19,13,11,6,5,7,0.11108,0.18123,0.86731,279.27,6,26,19,33,95,55,22,13,0,0,1.0785,0.41067
1F-L1-6.bmp,60,76.418,167.63,54,76714,1,6,1,6,7,6,5,9,28,2,0.46757,0.13574,34,54,0.57407,0.92593,137.92,0,9,0,1,4,4,7,14,9,23,0.75617,0.27359,167.63,167.63,0,0,2,3,2,1,3,5,12,80,0.91114,0.095711,39,47,36,25,15,15,6,5,8,8,0.11758,0.22478,0.86423,289.52,4,35,24,24,103,51,23,7,0,0,1.0402,0.34467
1F-L1-7.bmp,72,76.535,169.53,69,75390,5,7,4,6,10,8,5,14,10,3,0.42799,0.15389,37,69,0.66667,0.92754,139.3,0,9,1,4,4,4,6,8,11,25,0.76308,0.25577,169.53,169.53,0,0,2,3,4,2,0,2,16,79,0.91202,0.098537,19,47,48,26,27,14,12,6,11,10,0.14092,0.23628,0.86229,288.87,6,34,42,24,113,49,37,13,0,0,1.0816,0.47247
1F-L1-8.bmp,59,77.704,167.02,52,74652,0,5,3,6,8,8,5,15,16,5,0.47482,0.16997,34,52,0.55769,0.96154,134.43,0,6,1,2,2,7,10,8,13,22,0.78926,0.22227,167.02,167.02,1,1,3,2,0,0,1,8,10,82,0.90824,0.1141,30,54,41,17,20,12,12,4,8,6,0.11154,0.19579,0.86925,288.59,1,35,29,30,98,48,36,7,0,0,1.0592,0.37496
1F-L2-1.bmp,63,73.413,176.38,54,68916,1,1,7,7,5,10,8,8,14,8,0.4964,0.20487,32,54,0.38889,0.72222,140.59,0,7,2,0,4,2,9,9,12,24,0.79749,0.20517,176.38,176.38,2,4,2,5,4,2,4,6,14,65,0.86448,0.16125,43,36,23,21,22,16,11,7,8,4,0.11039,0.17187,0.82758,251.58,3,17,18,39,84,55,24,6,0,0,1.1011,0.50989
1F-L2-2.bmp,61,75.641,174.74,53,68738,1,6,0,7,7,7,8,9,14,5,0.47923,0.18326,30,53,0.35849,0.58491,137.05,0,3,1,2,2,8,8,10,11,19,0.82431,0.11956,174.74,174.74,2,4,5,3,2,5,2,5,15,64,0.86229,0.16662,27,16,15,20,24,25,7,7,5,5,0.13545,0.21144,0.82347,247.87,1,15,14,26,97,54,21,13,0,0,1.1561,0.53484
