File name,NFIQ2 score,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
1F-L1-1.bmp,66,98.846,150.14,62,70793,0,4,7,2,6,7,10,14,11,0,0.42665,0.085698,49,62,0.72581,0.85484,142.62,0,6,2,0,3,6,5,12,12,15,0.76337,0.25536,153.53,150.14,0,1,0,0,2,2,3,5,14,36,0.88501,0.092297,21,31,20,20,18,13,8,10,10,9,0.16233,0.24561,0.82062,235.52,5,23,23,28,98,67,18,7,0,0,1.0846,0.47707
1F-L1-2.bmp,71,96.794,157.85,56,73795,1,4,5,5,10,9,9,16,11,1,0.42897,0.10911,38,56,0.67857,0.875,152.86,0,6,3,5,4,5,12,8,8,20,0.76639,0.23744,164.33,157.85,0,0,0,0,1,3,6,9,21,32,0.87991,0.06278,33,27,28,31,9,11,6,6,5,5,0.10896,0.18717,0.78939,242.34,8,21,36,34,116,58,19,7,0,0,1.0303,0.36974
1F-L1-3.bmp,51,98.719,155.23,45,72032,1,3,2,6,9,10,12,9,16,1,0.43727,0.10786,30,45,0.77778,0.8,144.63,0,3,1,2,5,6,7,10,9,26,0.82531,0.15175,161.67,155.23,0,0,0,1,3,1,5,8,13,41,0.88765,0.077039,33,30,35,16,14,12,4,5,2,2,0.080617,0.134,0.80635,247.55,7,30,13,43,101,45,20,8,0,0,1.041,0.49562
1F-L1-4.bmp,71,97.979,149.81,52,75855,2,4,4,8,5,8,13,9,17,2,0.44187,0.13421,39,52,0.86538,0.88462,144.93,0,6,3,6,2,3,5,7,10,30,0.78083,0.24134,154.35,149.81,0,1,1,0,1,1,3,4,21,40,0.88659,0.087646,31,24,33,31,16,12,7,6,5,6,0.11517,0.19191,0.82053,254.36,6,32,30,36,112,51,23,10,0,0,1.0376,0.38002
1F-L1-5.bmp,66,95.089,167.64,52,59386,1,6,6,10,8,6,4,10,11,1,0.41214,0.11682,35,52,0.61538,0.94231,155.71,0,10,0,3,1,5,5,3,11,25,0.73282,0.30372,169.41,167.64,0,0,0,0,0,1,1,4,12,45,0.91125,0.043415,21,34,41,28,20,10,8,5,6,7,0.11829,0.19966,0.84712,224.49,5,26,33,35,82,48,21,15,0,0,1.1265,0.92969
1F-L1-6.bmp,65,94.565,170.03,44,65300,2,4,5,4,9,12,6,12,17,1,0.4323,0.10986,34,44,0.75,0.95455,157.25,0,10,0,3,2,7,4,10,9,27,0.73734,0.29918,174.82,170.03,0,0,0,1,1,0,3,2,8,57,0.91272,0.056809,35,34,43,27,15,8,9,6,6,5,0.10488,0.18374,0.83782,242.13,5,33,21,25,109,61,26,20,0,0,1.1157,0.47985
1F-L1-7.bmp,68,93.938,168.85,60,76187,4,5,4,5,10,10,10,12,10,0,0.40347,0.078837,37,60,0.6,0.88333,166.14,0,17,1,3,2,4,7,7,11,18,0.64249,0.36601,175.09,168.85,0,0,1,0,2,1,1,4,11,52,0.90492,0.070435,21,37,37,25,16,16,9,8,10,8,0.15005,0.2563,0.81995,272.22,7,27,61,32,111,61,14,18,0,0,1.05,0.44953
1F-L1-8.bmp,64,96.882,166.17,51,69238,0,3,8,10,11,9,6,12,10,2,0.42052,0.1226,36,51,0.78431,0.92157,155.35,0,16,0,2,2,8,6,7,14,16,0.65797,0.35696,171.17,166.17,0,1,0,0,0,0,1,5,15,50,0.90688,0.067118,18,44,43,27,11,14,7,4,7,5,0.10797,0.18607,0.8423,255.22,8,21,27,27,103,63,30,26,0,0,1.1688,0.56273
1F-L2-1.bmp,64,94.355,170.77,51,58409,2,2,5,9,8,8,4,8,13,3,0.44523,0.15748,37,51,0.52941,0.4902,152.41,0,9,2,5,3,0,5,3,7,28,0.75074,0.27567,174.46,170.77,1,0,1,3,2,0,2,1,16,37,0.87754,0.11883,30,32,16,20,20,16,9,8,4,6,0.12247,0.19322,0.80988,202.47,3,28,26,34,78,44,17,13,0,0,1.0903,0.55836
1F-L2-2.bmp,64,93.445,176.01,43,75123,2,3,7,7,9,8,9,7,8,0,0.40004,0.086723,30,43,0.37209,0.65116,171.46,0,11,1,0,3,1,2,9,10,23,0.71531,0.32279,183.78,176.01,3,2,2,0,2,4,2,6,13,37,0.836,0.18618,22,14,16,16,20,21,5,6,5,5,0.13713,0.207,0.7187,234.3,4,37,22,26,74,41,22,12,0,0,1.0454,0.40791
