File name,NFIQ2 score,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
1F-L1-1.bmp,71,78.655,174.86,69,70986,4,5,3,3,7,8,10,9,17,4,0.46038,0.16762,38,69,0.47826,0.82609,137.88,0,8,1,7,3,4,6,13,13,15,0.76747,0.22142,174.86,174.86,1,4,3,4,2,3,4,11,16,60,0.85904,0.14429,30,37,22,27,22,10,10,15,10,10,0.15846,0.24442,0.84976,271.92,6,29,31,36,110,55,21,18,0,0,1.0977,0.52441
1F-L1-2.bmp,66,77.88,175.09,69,73890,2,5,7,4,6,10,8,12,16,2,0.43692,0.13133,36,69,0.69565,0.94203,143,0,4,2,4,5,7,8,11,8,23,0.79418,0.19885,175.09,175.09,0,3,1,4,10,2,3,10,20,55,0.85898,0.12094,42,34,36,27,22,12,6,5,5,5,0.096049,0.16645,0.82897,271.07,4,25,26,43,101,44,19,11,0,0,1.0426,0.40295
1F-L1-3.bmp,60,80.821,169.63,51,76528,0,4,2,6,9,7,5,16,17,3,0.46223,0.14325,33,51,0.72549,0.84314,136.8,0,2,1,1,4,7,7,13,9,25,0.82789,0.15013,169.63,169.63,0,2,3,1,3,1,7,15,16,60,0.87341,0.11658,33,38,36,15,13,9,10,5,6,5,0.10799,0.18336,0.83553,278.23,5,23,17,55,93,27,25,4,0,0,1.0037,0.31377
1F-L1-4.bmp,64,79.009,171.1,70,76047,0,2,6,7,12,4,7,14,12,8,0.49115,0.1997,37,70,0.62857,0.92857,139.42,0,5,4,3,3,8,8,7,10,24,0.79361,0.2009,171.1,171.1,1,2,1,0,3,2,3,10,22,64,0.88794,0.11199,35,38,39,28,24,16,8,4,8,5,0.11056,0.1854,0.84832,288.43,10,42,23,36,108,50,21,15,0,0,1.0347,0.4034
1F-L1-5.bmp,64,80.501,172.57,58,72933,0,0,2,6,10,5,11,10,18,4,0.48062,0.15448,36,58,0.60345,0.94828,136.63,0,5,0,2,2,6,10,8,11,22,0.7978,0.20818,172.57,172.57,2,2,3,1,4,7,2,6,8,73,0.8734,0.14758,20,38,49,34,19,11,8,7,5,7,0.11159,0.18304,0.87844,281.1,1,32,17,41,91,62,17,9,0,0,1.0747,0.44295
1F-L1-6.bmp,61,80.47,170.31,54,77071,1,6,1,6,7,5,5,10,28,2,0.46971,0.13564,34,54,0.75926,0.94444,139.17,0,9,0,3,2,4,7,11,9,26,0.74794,0.28781,170.31,170.31,0,1,1,3,1,2,6,6,14,74,0.90219,0.095316,36,48,39,23,13,13,5,7,7,7,0.11104,0.2087,0.87382,291.86,3,41,29,24,98,44,21,10,0,0,1.0505,0.51233
1F-L1-7.bmp,68,79.715,171.74,67,75056,4,7,9,2,9,4,8,14,12,3,0.43311,0.15547,38,67,0.73134,0.9403,139.99,0,10,0,3,2,6,6,14,7,24,0.76233,0.25564,171.74,171.74,0,0,1,1,5,2,2,4,23,70,0.90401,0.087214,25,49,45,27,26,12,11,7,11,10,0.13862,0.23605,0.8711,288.33,7,33,41,20,110,65,34,11,0,0,1.0727,0.42682
1F-L1-8.bmp,60,81.341,169.58,54,75222,0,4,2,7,6,8,10,10,18,6,0.48363,0.17855,35,54,0.74074,0.94444,135.79,0,4,1,2,1,5,12,12,8,26,0.81549,0.17793,169.58,169.58,1,0,3,1,1,1,3,8,17,73,0.90143,0.10803,37,46,44,23,17,9,12,4,8,6,0.1095,0.19594,0.87862,294.34,1,23,23,35,98,55,32,18,0,0,1.1439,0.53561
1F-L2-1.bmp,59,75.46,181.82,52,68389,1,4,4,6,7,8,6,9,15,8,0.49564,0.20692,36,52,0.61538,0.73077,145.28,0,5,3,0,2,3,7,11,12,25,0.81206,0.18339,181.82,181.82,1,2,2,6,4,6,7,7,20,53,0.85597,0.13241,38,37,27,21,22,17,5,11,8,5,0.11702,0.18532,0.82444,250.63,5,19,19,28,76,57,35,6,0,0,1.101,0.41653
1F-L2-2.bmp,67,78.043,179.03,47,68462,2,6,1,6,8,8,8,7,15,3,0.45433,0.16062,27,47,0.42553,0.68085,140.39,0,3,1,2,1,8,7,10,7,25,0.82732,0.11862,179.03,179.03,1,4,4,4,2,2,5,12,16,58,0.85491,0.15849,26,14,16,20,19,27,10,7,3,6,0.1382,0.21384,0.82932,249.63,4,26,10,34,85,51,21,1,0,0,1.0343,0.31687
1F-L2-3.bmp,43,78.435,179.76,41,66615,0,2,3,7,6,7,10,5,21,0,0.44423,0.095937,21,41,0.36585,0.70732,139.09,0,1,2,1,1,3,6,10,12,25,0.84328,0.1174,179.76,179.76,1,6,7,2,4,3,4,10,15,56,0.84109,0.16811,39,26,26,28,24,8,5,2,1,1,0.064626,0.087856,0.84444,246.58,3,32,12,30,95,49,18,9,0,0,1.0892,0.52447
1F-L2-4.bmp,67,75.45,187.55,41,62539,2,2,5,3,7,3,14,7,10,8,0.49796,0.21313,27,41,0.4878,0.60976,144.46,0,10,0,2,2,5,6,8,10,18,0.74372,0.27377,187.55,187.55,5,4,3,4,1,5,7,6,17,56,0.83474,0.18556,32,27,24,22,12,9,12,9,7,7,0.14243,0.2284,0.83094,231.83,7,26,18,34,76,61,13,8,0,0,1.0757,0.69288
1F-L2-5.bmp,72,76.131,180.34,47,70223,3,3,5,3,9,12,3,16,12,3,0.43991,0.14807,30,47,0.7234,0.65957,145.16,0,6,1,3,0,9,8,9,14,19,0.82274,0.11923,180.34,180.34,1,2,4,4,4,2,5,13,18,55,0.8625,0.13842,45,33,19,23,18,14,7,18,5,9,0.1385,0.23055,0.83931,259.35,2,23,30,31,82,58,21,11,0,0,1.0883,0.45023
