File name,NFIQ2 score,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
10W-L1-1_zhenpi_bm3d.bmp,47,65.939,150.99,50,67502,2,3,3,7,5,13,12,14,5,8,0.47102,0.19846,28,50,0.7,0.14,141.88,0,14,3,9,4,7,5,16,8,6,0.74997,0.19551,149.42,150.99,2,10,7,10,8,7,9,8,6,5,0.67992,0.16628,23,40,22,30,14,13,7,12,4,0,0.09535,0.12576,0.54927,162.03,14,41,8,35,78,38,16,21,0,0,1.1305,0.76972
10W-L1-2_zhenpi_bm3d.bmp,46,72.752,157.57,51,57932,2,3,3,4,4,4,8,16,7,9,0.50578,0.22039,34,51,0.58824,0.15686,139.48,0,9,4,7,5,5,5,8,7,10,0.72656,0.25156,158.37,157.57,4,3,3,4,6,5,12,13,6,6,0.72361,0.18585,24,11,15,12,10,10,8,3,6,7,0.16955,0.27074,0.61275,149.51,6,21,10,25,61,36,20,7,0,0,1.1141,0.61445
10W-L1-3_zhenpi_bm3d.bmp,58,72.491,137.76,56,62882,1,4,3,9,7,6,4,12,12,4,0.45612,0.16795,33,56,0.51786,0.089286,129.42,0,5,6,2,4,6,8,6,10,15,0.78661,0.18738,136.75,137.76,0,0,4,8,5,10,13,10,6,7,0.76455,0.11162,18,26,13,17,22,12,25,12,5,3,0.14507,0.19573,0.63938,171.35,12,18,6,35,76,20,24,6,0,0,1.0506,0.49127
10W-L1-4_zhenpi_bm3d.bmp,50,70.668,149.26,52,61438,3,3,4,5,2,5,13,10,9,8,0.49308,0.21337,33,52,0.65385,0.25,137.58,0,7,2,8,9,5,7,5,10,9,0.7672,0.18575,147.37,149.26,1,4,2,3,11,5,10,14,9,4,0.74912,0.14126,33,23,19,14,8,9,2,5,0,1,0.07198,0.1568,0.62362,163.39,14,20,15,31,59,40,20,11,0,0,1.1035,0.59422
10W-L1-5_zhenpi_bm3d.bmp,54,74.921,150.62,52,61608,3,5,3,3,4,5,10,11,7,7,0.47857,0.21242,40,52,0.69231,0.17308,131.92,0,8,4,7,6,3,11,6,6,7,0.73788,0.23285,150.49,150.62,2,5,2,5,7,10,7,10,8,6,0.72788,0.16555,23,7,11,15,17,22,15,10,4,3,0.14729,0.17771,0.62758,165.68,7,21,10,31,49,26,16,16,0,0,1.1465,0.73147
10W-L1-6_zhenpi_bm3d.bmp,47,69.458,143.52,41,73983,3,1,6,6,6,7,10,15,15,2,0.44158,0.12803,16,41,0.78049,0.2439,138.72,0,3,3,4,7,5,14,12,9,14,0.82292,0.055478,143.82,143.52,0,3,0,7,7,15,13,10,11,6,0.76647,0.11596,32,32,15,11,18,15,3,2,0,0,0.05684,0.056195,0.62811,195.97,10,29,8,40,88,36,19,11,0,0,1.0702,0.55337
10W-L2-1_zhenpi_bm3d.bmp,30,68.803,147.59,97,74055,8,8,10,7,6,10,4,3,1,6,0.40409,0.20283,63,97,0.71134,0.082474,142.38,0,16,13,6,8,10,3,3,1,3,0.70736,0.19446,151.86,147.59,5,8,7,6,11,12,4,9,5,2,0.65916,0.18473,15,11,18,18,12,15,18,14,16,8,0.22176,0.27276,0.48613,152.64,29,40,13,20,62,24,17,40,0,0,1.2241,0.98588
10W-L2-2_zhenpi_bm3d.bmp,30,67.711,146.18,111,66486,5,8,9,6,6,5,4,3,0,12,0.47624,0.27352,71,111,0.8018,0.14414,131.38,0,18,10,6,4,7,5,5,2,1,0.64401,0.28205,146.28,146.18,3,10,8,6,8,5,5,9,8,8,0.68487,0.1876,27,30,23,9,6,12,11,12,11,4,0.15201,0.22458,0.53055,145.37,23,33,9,27,49,33,25,36,0,0,1.2691,0.95373
10W-L2-3_zhenpi_bm3d.bmp,43,66.497,136.88,106,61893,3,8,8,5,9,4,4,6,0,7,0.43396,0.22773,71,106,0.90566,0.19811,129.05,0,12,7,10,4,5,6,3,3,4,0.70563,0.23333,137.25,136.88,6,5,2,7,4,5,8,11,5,10,0.70346,0.2237,20,24,24,14,10,7,9,10,6,1,0.1136,0.15511,0.6056,162.91,18,30,18,22,61,30,17,34,0,0,1.238,1.1467
10W-L2-4_zhenpi_bm3d.bmp,43,68.593,131.38,94,61614,10,7,1,6,9,7,0,4,3,6,0.41939,0.22142,60,94,0.61702,0.23404,128.73,0,15,5,10,7,3,7,2,4,0,0.70482,0.20939,134.12,131.38,2,3,3,5,3,3,7,9,12,7,0.754,0.17351,21,20,18,16,11,9,8,11,7,0,0.11868,0.14686,0.60062,157.96,24,35,11,13,33,26,23,27,0,0,1.2768,1.3082
10W-L2-5_zhenpi_bm3d.bmp,29,67.973,144.39,78,54473,4,7,6,7,4,2,4,5,3,9,0.47152,0.25398,48,78,0.67949,0.14103,130.75,0,13,5,10,6,4,6,0,3,4,0.69366,0.23793,146.09,144.39,3,4,4,2,6,5,5,10,10,4,0.72428,0.18288,11,20,24,20,14,10,4,7,2,0,0.09238,0.10851,0.5577,126.6,13,26,13,21,36,26,20,22,0,0,1.1697,0.73404
