File name,NFIQ2 score,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
10W-L1-1_zhenpi_bm3d.bmp,39,94.14,136.14,38,65515,11,8,7,15,6,5,7,8,0,4,0.37962,0.16755,25,38,0.65789,0,117.9,0,22,13,9,8,3,6,7,1,2,0.64243,0.28118,136.64,136.14,14,18,17,11,6,6,0,0,0,0,0.48184,0.15952,24,26,25,31,18,22,15,8,6,4,0.12387,0.17121,0.3378,95.597,31,52,9,16,77,28,33,39,0,0,1.2579,1.1483
10W-L1-2_zhenpi_bm3d.bmp,29,93.169,168.87,30,52126,7,5,5,11,10,5,2,7,3,6,0.42086,0.20829,23,30,0.46667,0,131.37,0,15,3,12,4,10,3,6,5,3,0.67919,0.27052,168.28,168.87,19,7,18,16,6,4,1,1,0,0,0.48065,0.20319,13,19,15,27,10,8,7,7,8,8,0.17878,0.28023,0.40126,93.091,20,26,8,21,85,33,25,37,0,0,1.2808,0.97899
10W-L1-3_zhenpi_bm3d.bmp,31,97.137,162.26,26,56955,3,11,8,6,9,4,7,5,0,8,0.43829,0.22644,22,26,0.57692,0,131.09,0,13,8,10,6,9,10,3,2,0,0.65024,0.29118,159.18,162.26,11,12,15,18,12,4,0,0,0,0,0.52446,0.15657,17,22,23,19,20,19,17,9,2,2,0.11343,0.13627,0.39184,97.961,28,49,11,27,51,18,22,26,0,0,1.1242,0.97041
10W-L1-4_zhenpi_bm3d.bmp,37,92.587,169.77,26,54590,11,4,9,8,8,6,5,4,4,3,0.37658,0.16642,18,26,0.57692,0,137.47,0,11,8,12,4,6,7,6,5,3,0.67291,0.28226,164,169.77,13,8,11,17,13,8,2,0,0,0,0.54076,0.17032,32,32,18,21,12,9,6,5,1,0,0.067769,0.080587,0.42715,102.94,27,40,9,30,74,22,21,18,0,0,1.1414,1.1456
10W-L1-5_zhenpi_bm3d.bmp,22,98.14,159.75,27,55831,10,4,4,13,7,5,3,7,2,8,0.43211,0.23129,22,27,0.7037,0,125.59,0,15,10,8,8,7,9,3,2,1,0.65108,0.28669,157.66,159.75,9,13,16,16,11,5,1,1,0,0,0.53065,0.16977,21,11,19,20,16,14,11,11,3,2,0.12643,0.16925,0.39865,97.669,25,40,11,15,66,27,24,35,0,0,1.2416,1.0695
10W-L1-6_zhenpi_bm3d.bmp,45,96.07,136.37,32,71717,4,8,12,6,8,10,8,6,7,1,0.38413,0.10989,18,32,0.5625,0,127.49,0,8,8,7,7,11,12,8,6,3,0.7485,0.19166,141.4,136.37,3,8,15,13,14,8,9,2,0,0,0.61578,0.13671,42,35,20,19,16,13,5,3,0,0,0.05734,0.060813,0.43827,132.8,18,33,10,42,92,28,17,16,0,0,1.0481,0.57816
10W-L2-1_zhenpi_bm3d.bmp,8,92.565,144.46,79,54550,9,7,12,2,3,0,3,0,0,24,0.5806,0.34536,53,79,0.44304,0.012658,103.01,0,29,11,7,3,5,1,1,2,1,0.56284,0.31592,150.25,144.46,22,9,14,9,7,6,4,1,0,0,0.48201,0.20532,13,11,16,19,11,19,13,27,10,9,0.22751,0.27944,0.37878,92.8,33,44,13,15,39,18,26,69,0,0,1.5683,1.624
10W-L2-2_zhenpi_bm3d.bmp,20,90.22,144.63,62,56046,10,14,4,4,3,4,3,2,0,15,0.49292,0.30107,56,62,0.6129,0.032258,105.34,0,14,14,13,6,6,0,5,1,0,0.65161,0.2625,145.79,144.63,6,14,11,11,7,10,6,2,5,0,0.5958,0.18117,25,24,18,14,16,10,12,13,6,11,0.1872,0.29373,0.47934,119.83,31,34,4,17,61,25,23,64,0,0,1.4557,1.3288
10W-L2-3_zhenpi_bm3d.bmp,15,96.422,152,134,54014,26,8,2,4,1,2,0,1,0,17,0.46813,0.3355,103,134,0.57463,0,111.71,0,35,11,5,4,3,1,2,0,0,0.50742,0.3321,155.44,152,16,19,17,10,6,1,2,1,0,0,0.47764,0.16427,15,12,23,12,22,22,17,20,5,2,0.15513,0.2007,0.33739,80.974,59,52,10,19,74,31,16,54,0,0,1.2001,1.1774
10W-L2-4_zhenpi_bm3d.bmp,35,90.523,161.19,47,51229,10,5,8,9,4,2,2,3,0,13,0.48104,0.29094,34,47,0.40426,0.085106,116.7,0,18,12,6,6,2,6,5,0,1,0.64326,0.26861,166.18,161.19,7,9,3,7,9,10,10,7,6,4,0.65382,0.20687,20,27,18,19,3,9,6,11,3,0,0.094873,0.12215,0.54394,125.65,38,38,16,18,30,31,28,32,0,0,1.166,0.94297
