File name,NFIQ2 score,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
10W-L1-1_zhenpi_bm3d.bmp,38,63.277,112.36,42,65792,8,5,6,6,9,9,7,16,5,0,0.38238,0.08362,20,42,0.59524,0.28571,110.04,0,14,5,6,5,5,6,9,11,10,0.74621,0.21597,113.19,112.36,4,3,7,6,9,5,7,10,14,7,0.71853,0.18278,37,45,24,20,14,8,5,5,2,1,0.069607,0.11508,0.61202,173.2,14,44,12,50,83,24,20,27,0,0,1.1118,0.76151
10W-L1-2_zhenpi_bm3d.bmp,51,62.111,118.11,39,55604,4,2,9,4,6,5,9,11,9,7,0.46645,0.20297,31,39,0.61538,0.30769,116.08,0,13,4,5,4,3,8,9,7,13,0.73708,0.24404,118.41,118.11,16,3,0,1,2,4,7,8,14,17,0.68938,0.28092,23,23,20,10,7,7,9,17,7,9,0.19144,0.28338,0.68689,168.29,15,31,12,34,67,25,25,33,0,0,1.245,1.0717
10W-L1-3_zhenpi_bm3d.bmp,46,65.589,117.99,27,60386,2,2,7,8,7,10,7,9,8,10,0.48847,0.22186,17,27,0.66667,0.37037,115.05,0,12,1,7,8,4,6,11,7,14,0.7254,0.26771,118.07,117.99,4,6,7,5,5,3,9,8,10,15,0.72657,0.20073,28,24,22,19,20,22,13,8,2,1,0.098924,0.11725,0.66328,173.78,18,35,9,34,72,21,18,30,0,0,1.1697,1.0294
10W-L1-4_zhenpi_bm3d.bmp,33,61.169,118.46,33,61073,4,4,9,4,7,5,10,14,4,5,0.4346,0.17733,20,33,0.69697,0.48485,116.34,0,8,5,4,5,5,9,11,7,12,0.76664,0.20393,117.42,118.46,3,6,6,5,2,6,12,8,14,10,0.73405,0.18404,43,23,15,17,5,13,3,7,1,1,0.082287,0.17504,0.63658,170.6,14,24,11,35,79,26,15,15,0,0,1.1107,0.90014
10W-L1-5_zhenpi_bm3d.bmp,37,64.313,115,32,60532,3,2,7,5,8,8,9,8,9,7,0.46459,0.20088,24,32,0.84375,0.4375,110.92,0,9,6,8,4,4,10,11,5,9,0.74347,0.22125,115.46,115,2,9,3,5,0,7,13,14,4,15,0.73859,0.18569,17,13,18,19,19,14,17,8,2,3,0.12879,0.16426,0.65575,174.43,17,25,13,29,81,27,19,12,0,0,1.1455,1.2332
10W-L1-6_zhenpi_bm3d.bmp,50,71.135,115.6,40,72309,2,3,3,7,7,7,13,9,19,1,0.4389,0.1142,13,40,0.625,0.4,114.97,0,6,1,3,5,10,8,9,9,20,0.78699,0.19911,116.98,115.6,0,2,2,4,3,10,12,10,10,19,0.80609,0.12172,38,25,12,16,15,6,4,4,0,1,0.067867,0.13798,0.67629,208.3,9,33,16,30,103,29,19,9,0,0,1.0517,0.54218
10W-L2-1_zhenpi_bm3d.bmp,41,52.285,106.44,104,74006,10,9,10,7,8,7,4,1,1,8,0.41557,0.22713,71,104,0.625,0.15385,105.35,0,17,8,11,11,10,4,1,2,1,0.68785,0.2253,108.59,106.44,7,10,3,11,4,8,6,8,7,8,0.66496,0.20821,17,18,23,18,18,18,20,16,4,5,0.15249,0.19777,0.54928,172.47,32,40,18,20,65,23,14,48,0,0,1.3278,1.3874
10W-L2-2_zhenpi_bm3d.bmp,40,51.459,105.4,82,61015,9,8,9,10,7,6,5,3,1,8,0.42065,0.22522,61,82,0.64634,0.19512,99.421,0,14,13,11,4,8,4,5,5,2,0.68991,0.24364,106.66,105.4,3,10,4,12,4,5,11,3,9,11,0.69891,0.18814,25,23,22,13,20,13,10,15,7,8,0.17636,0.29406,0.57126,154.81,28,31,12,12,51,39,34,46,0,0,1.3701,1.1412
10W-L2-3_zhenpi_bm3d.bmp,41,57.094,109.7,103,61427,17,10,7,12,5,4,2,4,0,10,0.41424,0.24541,75,103,0.62136,0.20388,102.71,0,29,3,10,14,2,5,3,2,3,0.63699,0.28045,111.89,109.7,6,9,7,9,7,7,9,7,5,6,0.65316,0.2062,13,18,22,24,17,18,17,17,5,3,0.14229,0.16363,0.54302,144.99,39,36,17,31,61,26,23,53,0,0,1.2427,1.0198
10W-L2-4_zhenpi_bm3d.bmp,33,55.883,109.67,57,56509,7,5,8,5,12,5,3,5,2,9,0.44836,0.23806,45,57,0.61404,0.40351,103.45,0,15,7,8,11,9,3,3,2,3,0.69175,0.23533,112.08,109.67,7,4,4,3,4,5,8,7,9,21,0.74894,0.21735,24,26,19,18,8,8,10,15,5,1,0.11922,0.17811,0.65931,164.17,26,40,21,20,44,27,32,30,0,0,1.1337,0.74125
10W-L2-5_zhenpi_bm3d.bmp,31,52.599,112.14,56,53523,5,7,8,8,6,10,1,3,2,13,0.48449,0.27001,43,56,0.76786,0.32143,105.63,0,16,7,8,7,7,9,2,6,1,0.68611,0.24959,114.19,112.14,5,10,7,1,5,1,9,5,12,17,0.71092,0.22576,18,28,24,14,15,15,7,11,2,2,0.11221,0.16932,0.58844,141.23,21,36,17,17,61,33,26,27,0,0,1.1803,0.85468
10W-L2-6_zhenpi_bm3d.bmp,39,58.331,108.59,62,55219,8,10,7,4,10,8,5,3,0,6,0.40105,0.20919,51,62,0.75806,0.30645,101.78,0,19,2,13,5,8,6,1,3,4,0.65363,0.27946,111.37,108.59,5,6,6,4,6,3,4,5,17,16,0.73647,0.20764,22,20,30,11,11,12,8,11,5,0,0.10731,0.14022,0.65469,161.05,34,36,15,18,49,30,23,43,0,0,1.3361,1.2702
