File name,NFIQ2 score,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
1F-L1-1.bmp,76,78.656,162.18,69,70499,5,5,4,5,3,10,10,11,12,5,0.45527,0.17983,37,69,0.37681,0.76812,121.58,0,9,0,7,5,3,9,12,9,16,0.74567,0.25466,162.18,162.18,1,3,7,3,3,4,10,10,18,49,0.8369,0.14665,29,29,33,27,22,15,11,16,8,11,0.15506,0.23272,0.75894,241.34,6,38,29,23,114,57,25,16,0,0,1.0893,0.48431
1F-L1-2.bmp,69,76.872,163.59,72,73370,2,4,7,6,9,8,8,7,17,4,0.44763,0.15998,40,72,0.54167,0.76389,128.95,0,3,5,3,6,8,6,13,15,13,0.79578,0.17255,163.59,163.59,1,1,3,4,4,9,11,22,18,35,0.83147,0.12344,32,40,34,30,25,11,9,5,5,5,0.099448,0.16559,0.71961,234.59,6,25,30,35,99,59,20,9,0,0,1.0554,0.42169
1F-L1-3.bmp,66,79.914,158.67,48,74823,1,1,7,4,10,6,6,22,10,2,0.44454,0.12333,34,48,0.39583,0.75,122.88,0,2,0,6,2,6,7,8,13,25,0.82475,0.14984,158.67,158.67,1,1,1,2,5,3,10,19,25,41,0.85598,0.11775,32,38,40,20,10,12,7,5,7,5,0.10818,0.18648,0.7513,245.67,2,21,9,46,100,49,19,3,0,0,1.0506,0.36375
1F-L1-4.bmp,74,78.401,155.55,73,75177,0,3,10,7,9,10,6,6,13,8,0.47387,0.20355,36,73,0.45205,0.86301,120.95,0,4,5,2,2,13,9,7,9,21,0.8002,0.17596,155.55,155.55,1,3,1,2,2,4,9,13,26,47,0.85684,0.12989,43,37,38,34,24,13,7,6,7,6,0.10736,0.18396,0.76313,255.65,8,41,24,39,105,46,21,15,0,0,1.1509,1.0958
1F-L1-5.bmp,69,77.105,168.5,58,71815,0,1,5,3,6,10,10,16,11,6,0.48381,0.17532,37,58,0.44828,0.89655,133.28,0,10,0,1,1,6,11,12,8,19,0.73401,0.2898,168.5,168.5,1,2,0,1,3,2,6,6,30,57,0.88039,0.11826,20,38,55,33,16,10,9,6,5,7,0.10873,0.18367,0.79041,251.35,3,16,33,34,101,52,20,7,0,0,1.0585,0.38907
1F-L1-6.bmp,71,75.385,166.35,54,75328,1,6,4,6,5,4,8,12,23,2,0.45933,0.13466,35,54,0.55556,0.88889,135.57,0,9,1,2,1,4,5,11,15,23,0.74655,0.28696,166.35,166.35,1,2,1,1,2,3,2,16,24,56,0.87341,0.1285,40,45,47,19,16,14,6,5,8,8,0.11563,0.22961,0.78622,259.45,4,31,25,23,107,55,22,10,0,0,1.1366,1.1008
1F-L1-7.bmp,80,75.105,167.27,71,74064,6,8,3,5,6,12,10,9,9,4,0.42718,0.16396,39,71,0.60563,0.76056,136.09,0,15,3,3,2,4,9,8,10,18,0.68639,0.32627,167.27,167.27,1,2,0,3,4,4,6,7,25,56,0.87027,0.12725,21,51,56,24,22,11,11,7,11,10,0.13749,0.23552,0.78772,250.5,6,36,48,24,113,60,22,9,0,0,1.0318,0.40391
1F-L1-8.bmp,67,77.411,166.56,51,73353,2,4,1,11,6,6,8,17,12,4,0.45409,0.15569,33,51,0.5098,0.92157,132.83,0,8,1,4,2,2,8,9,15,22,0.75305,0.27132,166.56,166.56,2,3,1,1,0,2,2,14,29,54,0.86781,0.1307,42,38,45,28,19,7,11,5,7,7,0.10833,0.19442,0.79089,257.83,1,19,29,39,109,50,24,17,0,0,1.1169,0.50807
1F-L2-1.bmp,63,74.517,173.45,48,67391,2,4,3,5,12,9,5,9,11,8,0.48252,0.20771,33,48,0.41667,0.45833,134.64,0,7,2,0,3,3,2,12,15,24,0.77882,0.24628,173.45,173.45,2,1,3,3,10,6,9,15,14,45,0.83084,0.15135,40,30,35,19,27,14,5,11,8,6,0.12244,0.2052,0.73121,215.71,8,16,22,27,88,54,28,6,0,0,1.0724,0.42175
1F-L2-2.bmp,71,75.343,173.21,50,67501,0,7,6,8,4,8,8,8,12,3,0.43441,0.15101,29,50,0.54,0.48,133.81,0,10,0,1,2,7,6,9,7,22,0.74992,0.26776,173.21,173.21,2,6,1,5,7,3,9,11,17,47,0.82509,0.16951,29,22,19,19,22,24,7,10,4,6,0.13646,0.22514,0.7313,217.93,2,28,17,31,77,49,23,10,0,0,1.0932,0.47764
1F-L2-3.bmp,50,80.196,168.96,42,63956,0,5,6,9,7,6,3,10,14,1,0.42638,0.11588,22,42,0.28571,0.61905,121.87,0,1,2,3,5,3,6,3,13,25,0.83599,0.11977,168.96,168.96,3,1,6,4,2,4,6,9,12,61,0.84937,0.16833,47,23,31,27,17,9,6,3,1,1,0.06422,0.090837,0.76804,214.28,3,26,16,32,83,53,22,12,0,0,1.1094,0.49544
1F-L2-4.bmp,68,73.255,185.38,50,60663,1,3,10,3,11,8,6,4,9,7,0.46404,0.20656,34,50,0.28,0.46,141.98,0,9,1,3,3,3,9,5,17,12,0.75216,0.25169,185.38,185.38,4,5,2,6,4,3,9,10,21,44,0.81418,0.17668,24,35,28,28,13,12,7,12,9,5,0.13663,0.22176,0.74104,202.3,11,14,20,25,69,71,22,18,0,0,1.1396,0.47882
1F-L2-5.bmp,67,73.554,175.09,42,68841,2,10,3,2,9,10,9,15,6,3,0.42491,0.14779,25,42,0.5,0.61905,138.8,0,7,2,2,0,4,11,10,12,21,0.80291,0.18211,175.09,175.09,3,2,2,3,3,3,7,12,23,50,0.84811,0.14932,42,44,25,18,18,17,10,12,8,7,0.12557,0.1959,0.75939,231.61,8,18,37,31,90,41,19,10,0,0,1.084,0.64738
1F-L2-6.bmp,65,75.702,168.41,59,68598,3,0,5,7,7,9,8,8,13,9,0.49845,0.21431,35,59,0.45763,0.50847,129.8,0,5,2,2,3,4,6,11,10,26,0.81742,0.15384,168.41,168.41,3,1,2,3,4,4,10,12,15,54,0.84857,0.16595,45,36,24,13,17,15,6,13,7,7,0.12887,0.21737,0.76319,229.72,3,26,22,24,93,61,26,10,0,0,1.1302,0.59293
1F-L2-7.bmp,63,77.191,169.11,47,67989,1,0,6,6,9,15,11,8,5,8,0.47182,0.20008,30,47,0.40426,0.53191,129.31,0,4,2,4,5,6,5,9,11,23,0.81145,0.14966,169.11,169.11,2,2,3,4,7,4,6,11,18,51,0.83966,0.16348,27,43,29,20,17,18,7,13,9,7,0.13777,0.2176,0.76632,224.53,0,28,22,25,93,72,25,8,0,0,1.0996,0.35728
