File name,NFIQ2 score,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
1F-L1-1.bmp,79,74.799,175.21,67,70897,5,6,4,3,13,6,9,9,13,2,0.42317,0.1437,40,67,0.47761,0.77612,143.78,0,11,1,7,6,4,10,11,13,7,0.71429,0.27884,175.21,175.21,14,7,4,3,3,5,6,14,26,26,0.72471,0.26058,33,18,35,22,23,20,11,15,10,10,0.16174,0.23829,0.76715,245.49,7,41,38,24,106,49,24,22,0,0,1.0872,0.50416
1F-L1-2.bmp,69,73.074,177.96,72,73938,2,4,5,7,10,8,6,14,14,2,0.43689,0.13216,39,72,0.76389,0.70833,152.02,0,6,4,4,4,8,6,10,12,18,0.78467,0.19738,177.96,177.96,8,7,4,4,4,7,11,17,24,22,0.75545,0.19809,29,35,46,27,23,13,8,6,5,5,0.10189,0.16626,0.74283,242.16,2,33,25,39,103,52,23,7,0,0,1.0464,0.45249
1F-L1-3.bmp,58,76.621,170.64,56,76311,0,2,8,5,8,7,1,23,13,2,0.45205,0.12681,35,56,0.71429,0.69643,143.67,0,3,2,4,3,9,10,13,5,20,0.80265,0.17807,170.64,170.64,14,5,3,1,3,4,11,15,25,27,0.74587,0.22992,40,31,37,24,11,11,9,6,7,5,0.1096,0.18446,0.75932,251.34,3,21,16,38,97,46,21,6,0,0,1.068,0.44697
1F-L1-4.bmp,73,75.425,169.53,65,75536,2,3,6,12,7,9,7,9,12,5,0.44938,0.17454,37,65,0.66154,0.84615,142.38,0,9,2,6,5,7,10,4,8,21,0.74963,0.25241,169.53,169.53,8,3,3,5,5,4,7,15,28,30,0.78219,0.19385,36,32,40,41,21,13,13,4,8,6,0.11232,0.18464,0.77214,260.21,11,45,20,31,110,42,22,19,0,0,1.068,0.50897
1F-L1-5.bmp,53,67.726,188.89,60,73565,0,4,4,5,6,8,11,13,12,5,0.47166,0.16939,35,60,0.75,0.9,167.12,0,10,2,0,5,6,13,11,6,15,0.71408,0.29905,188.89,188.89,15,1,9,1,0,4,2,5,21,50,0.75739,0.26469,23,33,49,39,18,15,7,6,6,6,0.11086,0.18388,0.80949,259.85,4,27,26,31,84,57,27,9,0,0,1.088,0.49275
1F-L1-6.bmp,60,69.6,184.99,55,77417,4,2,3,7,4,8,5,11,26,1,0.45397,0.12065,33,55,0.81818,0.92727,165.27,0,8,1,2,4,4,9,13,14,16,0.74938,0.26997,184.99,184.99,15,3,1,3,0,3,0,11,25,47,0.76954,0.26379,36,47,43,19,16,14,9,7,7,6,0.11555,0.21855,0.80686,271.91,2,34,31,37,94,49,20,11,0,0,1.0493,0.41914
1F-L1-7.bmp,73,68.817,186.5,72,75313,4,7,5,9,8,10,7,12,9,1,0.40264,0.10994,43,72,0.77778,0.86111,166.33,0,16,3,3,4,4,9,6,8,19,0.6626,0.34315,186.5,186.5,3,8,2,9,2,3,4,6,22,49,0.80727,0.18512,19,51,47,27,28,13,8,8,13,9,0.13711,0.22224,0.80175,268.59,1,33,49,32,111,57,24,14,0,0,1.0659,0.47306
1F-L1-8.bmp,59,72.044,184.21,55,75382,3,3,7,5,10,4,9,19,11,0,0.41148,0.081484,35,55,0.67273,0.92727,162.27,0,10,1,2,4,3,9,8,16,18,0.74788,0.27053,184.21,184.21,16,4,1,1,1,1,4,8,32,40,0.76591,0.25277,28,42,51,20,27,8,9,6,9,7,0.11856,0.20794,0.80166,267.75,2,15,31,28,95,67,31,12,0,0,1.1338,0.46912
1F-L2-1.bmp,58,70.131,186.02,56,68350,4,3,4,5,15,7,7,8,11,5,0.44908,0.17965,39,56,0.53571,0.57143,157.89,0,6,3,3,4,5,6,11,13,18,0.77514,0.22267,186.02,186.02,15,8,2,3,6,5,7,15,16,31,0.71946,0.2581,30,30,35,19,29,19,6,12,8,6,0.12901,0.20018,0.75272,227.32,4,17,12,35,94,51,31,9,0,0,1.1212,0.48837
1F-L2-2.bmp,64,69.403,187.67,49,68697,2,3,5,10,7,5,12,8,11,1,0.4193,0.11279,30,49,0.59184,0.5102,161.31,0,9,0,1,6,8,5,14,12,9,0.75083,0.2462,187.67,187.67,12,12,3,7,5,4,6,8,19,32,0.71645,0.24909,28,17,12,18,19,30,8,10,4,6,0.1478,0.23392,0.75249,227.25,2,31,30,27,82,40,25,5,0,0,1.036,0.40174
1F-L2-3.bmp,41,74.477,178.69,41,66234,1,2,6,6,8,11,4,7,15,1,0.4328,0.11765,23,41,0.43902,0.63415,143.31,0,5,0,5,3,5,7,8,10,18,0.78754,0.21434,178.69,178.69,19,11,1,3,3,6,1,13,12,39,0.70976,0.27663,41,22,27,33,20,11,6,2,0,1,0.065307,0.081212,0.78727,226.73,4,31,12,28,77,51,31,18,0,0,1.1587,0.56808
1F-L2-4.bmp,58,68.764,192.46,46,62213,0,2,4,16,5,4,8,8,8,11,0.50255,0.23303,32,46,0.43478,0.47826,161.28,0,13,2,0,3,8,10,15,6,9,0.7213,0.27284,192.46,192.46,18,11,3,6,2,3,7,9,23,26,0.68959,0.27502,33,27,31,29,21,11,14,8,8,5,0.12559,0.19148,0.75452,210.51,9,24,26,26,68,57,23,18,0,0,1.1496,0.69418
1F-L2-5.bmp,66,68.423,187.05,55,70426,2,3,4,9,10,8,7,14,9,3,0.42988,0.14518,34,55,0.6,0.45455,161.69,0,5,4,2,3,4,13,11,12,15,0.8055,0.15109,187.05,187.05,17,6,2,2,5,1,6,12,22,35,0.72656,0.27416,40,37,30,18,12,21,9,16,8,8,0.13745,0.21999,0.76877,239.86,4,25,35,32,83,48,19,10,0,0,1.0702,0.53304
1F-L2-6.bmp,54,70.015,181.98,63,69979,0,3,4,9,7,6,8,16,10,6,0.47308,0.18101,35,63,0.55556,0.46032,154.34,0,5,1,3,4,7,7,14,14,14,0.80781,0.14965,181.98,181.98,14,4,7,5,2,4,9,11,11,41,0.74358,0.24815,43,37,24,11,17,12,10,14,7,7,0.13698,0.22248,0.77554,240.42,7,24,33,24,78,63,30,10,0,0,1.0986,0.48579
