File name,NFIQ2 score,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
1F-L1-1.bmp,76,75.828,171.1,72,70723,4,7,4,4,7,10,8,10,13,3,0.43688,0.15979,40,72,0.45833,0.83333,137.28,0,13,0,8,3,7,8,9,13,9,0.69328,0.30364,171.1,171.1,15,6,4,2,1,6,4,10,22,38,0.73878,0.26761,31,27,24,28,20,19,11,16,10,10,0.1618,0.24085,0.79524,253.68,3,41,29,21,114,52,21,19,0,0,1.0989,0.50471
1F-L1-2.bmp,55,74.823,173.59,68,73644,2,7,8,2,7,9,7,15,14,1,0.42556,0.11636,39,68,0.79412,0.77941,144.67,0,4,7,2,5,11,5,11,11,16,0.79406,0.17419,173.59,173.59,10,5,6,0,5,4,9,13,22,34,0.76383,0.22411,36,34,43,27,22,9,10,5,5,5,0.099611,0.16787,0.77496,252.64,2,27,28,27,111,52,26,10,0,0,1.094,0.51796
1F-L1-3.bmp,60,77.925,167.74,49,75481,0,3,3,6,7,9,3,20,16,2,0.45966,0.12619,30,49,0.65306,0.85714,137.55,0,2,2,1,5,10,11,6,10,22,0.82942,0.11249,167.74,167.74,13,3,3,3,3,3,7,11,25,37,0.76594,0.23559,38,35,31,24,15,10,8,6,7,4,0.1044,0.17378,0.79374,260.35,1,19,15,39,104,47,20,7,0,0,1.0872,0.47437
1F-L1-4.bmp,65,77.148,166.8,67,75480,1,2,12,4,9,8,10,5,15,6,0.46675,0.18454,37,67,0.61194,0.8806,136.95,0,8,3,2,5,9,7,8,9,21,0.76558,0.2376,166.8,166.8,10,4,3,2,2,5,4,12,20,46,0.78787,0.22336,39,29,38,40,18,19,9,4,8,6,0.11383,0.18711,0.8044,270.28,10,48,26,35,101,44,20,16,0,0,1.0343,0.4697
1F-L1-5.bmp,47,73.459,176.09,54,72480,0,1,4,5,7,8,7,14,17,5,0.4854,0.16711,34,54,0.57407,0.94444,147.04,0,9,0,1,2,6,8,13,9,20,0.74919,0.27687,176.09,176.09,14,7,2,2,1,2,0,4,10,66,0.76831,0.28131,10,39,47,36,23,11,12,6,5,7,0.11771,0.18409,0.8452,269.62,1,30,29,37,90,46,29,7,0,0,1.0504,0.37265
1F-L1-6.bmp,52,73.316,175.42,56,76288,1,7,0,5,11,3,5,10,28,1,0.45783,0.12107,34,56,0.71429,0.96429,150.08,0,7,0,3,3,3,3,15,14,23,0.7702,0.25782,175.42,175.42,18,1,0,3,0,2,1,5,19,59,0.77988,0.27336,38,47,41,18,18,17,6,7,6,7,0.11581,0.22567,0.8385,276.7,6,33,25,30,107,52,12,10,0,0,1.0424,0.43624
1F-L1-7.bmp,67,73.349,177.28,66,74906,5,5,6,11,8,5,8,15,8,1,0.40891,0.11963,38,66,0.72727,0.86364,151.59,0,15,3,1,4,5,8,7,9,20,0.67854,0.33708,177.28,177.28,3,6,4,8,2,2,4,3,13,63,0.82195,0.19485,21,46,52,26,24,14,12,7,11,10,0.1407,0.23659,0.83861,275.06,5,34,46,24,113,56,27,11,0,0,1.0488,0.41999
1F-L1-8.bmp,53,74.766,173.63,54,74654,2,2,8,4,8,7,7,18,14,1,0.43467,0.11142,34,54,0.62963,0.94444,145.88,0,5,3,4,0,5,6,14,14,20,0.78468,0.22089,173.63,173.63,13,8,0,1,1,0,1,6,23,55,0.78146,0.25894,35,41,44,19,24,14,8,7,10,4,0.11266,0.18992,0.83711,274.57,0,22,28,40,103,53,27,13,0,0,1.135,0.69795
1F-L2-1.bmp,58,71.787,180.16,53,67894,2,6,4,7,8,9,7,9,12,5,0.45432,0.1788,36,53,0.58491,0.66038,148.22,0,4,3,0,4,3,6,16,10,23,0.82919,0.11572,180.16,180.16,18,6,2,1,7,2,3,13,20,36,0.72999,0.26989,37,35,28,23,21,21,4,11,8,6,0.12555,0.20395,0.791,235.72,4,28,10,39,89,53,22,8,0,0,1.0731,0.45301
1F-L2-2.bmp,63,72.086,180.52,47,68271,1,5,3,9,6,8,10,6,14,2,0.43685,0.1365,27,47,0.59574,0.61702,148.68,0,5,1,1,6,8,6,10,7,20,0.79587,0.18426,180.52,180.52,14,9,5,4,1,6,6,7,14,42,0.73746,0.25226,28,14,15,19,21,25,12,6,5,6,0.14888,0.23346,0.78866,237.39,1,23,22,20,78,54,29,4,0,0,1.0805,0.3485
1F-L2-3.bmp,44,76.2,174.13,47,65763,0,2,5,11,4,7,7,7,16,2,0.44943,0.13703,24,47,0.46809,0.61702,135.44,0,6,1,2,2,2,9,7,12,20,0.77989,0.23779,174.13,174.13,16,7,5,4,3,3,4,7,14,45,0.73378,0.27671,35,28,29,29,25,7,5,3,0,1,0.06452,0.082213,0.81986,233.66,3,31,11,22,92,50,28,14,0,0,1.1318,0.50747
1F-L2-4.bmp,60,70.078,187.31,46,61769,0,3,5,9,10,2,8,9,9,9,0.49282,0.21794,31,46,0.52174,0.5,152.42,0,13,0,2,4,5,7,10,7,16,0.72589,0.27971,187.31,187.31,14,8,8,5,4,2,7,5,17,38,0.71924,0.26049,29,35,26,28,12,10,15,8,9,5,0.13253,0.21175,0.7837,217.87,8,22,21,25,67,64,26,13,0,0,1.1296,0.57839
