File name,NFIQ2 score,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
1F-L1-1.bmp,53,69.811,173.64,59,47901,3,1,5,1,10,6,2,10,5,4,0.45268,0.18668,51,59,0.37288,0.84746,138.65,0,9,2,4,6,7,6,5,6,2,0.69723,0.27157,183.13,173.64,5,1,3,2,1,4,2,2,10,42,0.82547,0.1989,20,15,13,18,8,16,5,10,9,7,0.18257,0.25781,0.84693,179.55,2,30,43,8,90,39,33,20,0,0,1.1631,0.66901
1F-L1-2.bmp,61,68.246,175.21,66,50062,1,2,3,8,7,8,5,6,7,3,0.44168,0.16184,49,66,0.60606,0.92424,146.45,0,10,2,5,4,6,8,5,5,5,0.65277,0.32859,184.43,175.21,0,2,0,1,4,3,2,9,17,34,0.86797,0.10296,27,27,18,11,11,8,2,5,2,7,0.11936,0.20935,0.82931,184.94,9,24,51,14,104,46,17,5,0,0,1.0107,0.44782
1F-L1-3.bmp,56,70.685,170.42,47,50386,0,5,2,8,5,8,3,9,6,6,0.46961,0.2042,34,47,0.3617,0.82979,138.99,0,8,0,3,3,9,6,3,9,11,0.71997,0.28752,180.25,170.42,1,1,4,0,0,2,4,6,14,40,0.8626,0.13894,26,24,12,12,12,14,2,4,5,3,0.11368,0.1901,0.83982,186.44,4,18,43,13,94,52,17,7,0,0,1.0648,0.42605
1F-L1-4.bmp,61,69.586,166.69,66,50986,1,4,3,4,7,4,6,8,9,3,0.44885,0.16522,56,66,0.43939,0.89394,136.22,0,15,2,2,2,5,6,4,8,5,0.58604,0.37348,176.77,166.69,3,3,2,1,1,1,3,2,16,40,0.83891,0.17562,14,19,32,16,9,14,4,5,8,5,0.14142,0.228,0.83503,187.05,3,31,35,6,96,52,29,12,0,0,1.1279,0.64786
1F-L1-5.bmp,52,65.772,179.88,54,49027,1,2,3,3,6,3,5,7,12,10,0.54452,0.238,45,54,0.40741,0.94444,150.58,0,13,0,0,2,5,6,2,7,17,0.64394,0.37386,188.3,179.88,4,1,0,1,0,3,0,5,7,51,0.863,0.18633,22,23,24,21,24,6,3,9,5,7,0.13311,0.21877,0.85762,187.82,1,25,44,9,85,44,12,16,0,0,1.0734,0.43097
1F-L1-6.bmp,49,65.341,179,49,51561,4,3,1,5,5,2,5,7,16,8,0.51639,0.22414,39,49,0.53061,0.95918,154.04,0,24,1,1,3,6,2,3,3,13,0.48044,0.41787,187.23,179,1,0,2,0,1,0,1,4,9,54,0.89896,0.12301,29,40,21,13,14,5,6,6,4,6,0.11187,0.20055,0.86572,195.65,9,25,36,16,109,60,12,17,0,0,1.0871,0.5064
1F-L1-7.bmp,52,64.286,180.11,62,49943,1,3,8,3,4,5,12,4,8,1,0.41649,0.12122,46,62,0.54839,0.8871,154.33,0,22,2,2,6,2,2,5,4,4,0.45068,0.40866,188.5,180.11,5,1,1,2,2,0,1,3,8,49,0.84246,0.21236,13,20,26,30,19,12,8,6,10,6,0.15445,0.22852,0.85799,191.33,0,50,42,4,104,40,32,16,0,0,1.0639,0.43429
1F-L1-8.bmp,51,68.989,176.26,52,49370,1,4,4,6,6,5,3,13,5,6,0.47043,0.20565,45,52,0.51923,0.92308,146.32,0,17,2,1,2,3,6,10,4,8,0.5674,0.3917,185.42,176.26,1,1,0,0,1,1,3,3,10,52,0.8962,0.11829,23,32,19,27,10,10,6,6,6,4,0.11692,0.18996,0.87212,190.12,5,31,37,10,95,54,17,11,0,0,1.0582,0.43438
1F-L2-1.bmp,46,65.756,184.89,50,44252,2,0,4,3,6,3,3,8,12,5,0.49889,0.20105,41,50,0.44,0.68,150.97,0,16,1,0,0,7,1,3,2,16,0.58648,0.39185,192.68,184.89,4,3,2,2,3,4,3,4,14,33,0.81644,0.18958,19,18,19,22,13,11,6,7,4,3,0.12361,0.18589,0.82864,160.76,5,28,32,8,85,51,16,11,0,0,1.0875,0.59905
1F-L2-2.bmp,53,64.174,185.49,46,45387,0,4,3,5,5,4,3,8,11,1,0.43709,0.12326,37,46,0.54348,0.69565,153.77,0,9,4,1,2,2,4,9,4,9,0.67765,0.32319,193.02,185.49,6,8,0,1,3,0,5,5,11,33,0.78182,0.23135,17,10,15,11,15,18,6,5,5,6,0.15511,0.22408,0.80764,167.18,1,14,26,10,87,50,18,13,0,0,1.1255,0.3823
