File name,NFIQ2 score,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
1F-L1-1.bmp,72,77.395,168.34,72,70319,3,4,5,4,7,5,9,14,13,4,0.453,0.16473,44,72,0.52778,0.83333,132.85,0,7,3,4,5,5,12,12,9,11,0.76265,0.22093,168.34,168.34,14,6,5,1,5,2,8,10,17,40,0.75019,0.24651,26,27,46,24,23,10,11,13,8,10,0.14947,0.23082,0.78528,248.15,8,32,32,36,105,48,25,15,0,0,1.0497,0.4092
1F-L1-2.bmp,65,76.841,169.01,70,72062,5,7,3,3,7,13,9,13,7,5,0.43887,0.17217,40,70,0.62857,0.71429,136.36,0,3,3,11,2,13,5,15,6,14,0.79906,0.14472,169.01,169.01,2,8,11,5,6,9,7,9,22,29,0.76147,0.18297,30,37,31,34,19,20,7,6,4,6,0.10447,0.16523,0.74177,235.14,16,40,21,27,88,50,36,27,0,0,1.1481,0.67473
1F-L1-3.bmp,44,77.834,168.36,52,71874,0,3,5,5,10,4,8,11,13,4,0.46622,0.16336,37,52,0.32692,0.76923,134.15,0,1,1,2,7,5,10,12,11,14,0.82565,0.11235,168.36,168.36,18,7,4,2,1,4,6,10,27,29,0.72115,0.25704,35,41,24,26,15,19,2,5,5,4,0.097975,0.17304,0.7838,234.36,3,34,14,33,75,43,28,6,0,0,1.0461,0.3742
1F-L1-4.bmp,71,75.961,166.63,62,75567,6,2,15,6,7,9,7,4,8,7,0.43843,0.20107,38,62,0.62903,0.82258,137.71,0,12,1,8,1,9,10,10,10,10,0.72605,0.26464,166.63,166.63,3,6,2,1,10,6,9,10,24,37,0.80264,0.16517,30,32,38,40,28,13,8,5,8,5,0.11282,0.18605,0.78218,256.56,9,41,32,17,93,29,37,37,0,0,1.1568,0.58055
1F-L1-5.bmp,58,79.268,166.03,55,71876,2,3,2,7,4,9,8,11,15,4,0.46497,0.16217,39,55,0.38182,0.87273,130.71,0,5,2,5,2,6,7,11,10,17,0.78245,0.20642,166.03,166.03,9,11,8,1,0,0,2,5,17,55,0.76733,0.24675,14,43,39,31,22,7,9,10,5,6,0.12444,0.21932,0.82905,252.03,7,32,21,32,88,53,31,11,0,0,1.0764,0.41342
1F-L1-6.bmp,67,78.137,168.24,53,72066,2,3,4,7,5,9,4,10,18,1,0.44271,0.12326,37,53,0.35849,0.84906,134.25,0,4,1,3,3,6,7,12,6,21,0.7912,0.21087,168.24,168.24,16,7,0,3,2,2,2,12,9,55,0.75497,0.26531,28,43,35,17,18,15,5,6,8,5,0.11627,0.2058,0.82844,254.33,7,16,30,33,85,52,35,19,0,0,1.1556,0.58715
1F-L1-7.bmp,63,78.7,168.18,87,71514,5,6,2,7,6,11,9,8,8,10,0.47711,0.22455,39,87,0.43678,0.83908,134.66,0,11,4,7,1,5,11,9,10,14,0.71162,0.29059,168.18,168.18,6,5,1,1,6,7,2,11,19,50,0.81427,0.19461,22,37,44,25,31,10,13,7,11,9,0.14703,0.23921,0.82716,253.11,14,48,55,14,89,60,31,20,0,0,1.0569,0.52292
1F-L1-8.bmp,55,79.447,165.57,54,72409,1,6,5,4,5,9,9,11,12,1,0.42734,0.11562,36,54,0.46296,0.94444,130.74,0,3,0,4,5,4,9,10,11,17,0.80288,0.18493,165.57,165.57,16,5,5,2,1,3,4,4,15,53,0.75606,0.25537,23,44,35,21,20,7,6,8,7,6,0.12311,0.2209,0.83205,255.44,6,29,24,33,88,47,34,17,0,0,1.1246,0.5627
1F-L2-1.bmp,49,71.982,178.14,56,65801,2,2,6,7,1,8,12,10,12,7,0.48663,0.1974,38,56,0.51786,0.60714,143.15,0,7,2,2,3,8,4,10,16,15,0.78185,0.20474,178.14,178.14,15,8,5,0,3,7,4,14,19,33,0.72234,0.25988,35,29,28,24,22,23,8,8,8,4,0.11735,0.1768,0.76816,229.68,8,29,29,35,82,34,27,13,0,0,1.0827,0.57961
1F-L2-2.bmp,58,74.894,174.11,57,65824,3,3,7,7,6,12,5,8,9,3,0.43012,0.15988,34,57,0.4386,0.5614,135.98,0,3,2,4,6,8,5,8,16,11,0.81191,0.11659,174.11,174.11,19,6,6,4,1,4,7,10,21,30,0.70224,0.27431,23,15,18,16,25,27,8,8,4,7,0.14809,0.22476,0.76943,220.06,12,32,18,27,57,42,34,15,0,0,1.102,0.60503
