File name,NFIQ2 score,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
1F-L1-1.bmp,85,72.851,176.08,63,68949,4,7,4,8,12,3,9,8,10,3,0.41913,0.15701,33,63,0.4127,0.79365,142.29,0,9,3,5,10,7,8,9,8,9,0.72927,0.25345,176.08,176.08,2,4,4,1,5,4,5,17,20,28,0.81325,0.15381,23,23,26,26,23,19,12,15,9,10,0.16825,0.24216,0.75414,233.78,9,47,30,22,91,48,21,24,0,0,1.0863,0.52923
1F-L1-2.bmp,61,70.276,178.62,74,73729,1,5,7,9,7,8,10,10,13,1,0.41946,0.11083,42,74,0.75676,0.72973,153.01,0,5,4,4,4,10,8,7,13,16,0.78443,0.19894,178.62,178.62,0,0,3,4,3,7,8,19,22,24,0.83506,0.098592,29,36,50,29,28,7,11,7,5,5,0.10072,0.16495,0.7501,247.53,2,36,27,23,97,57,20,9,0,0,1.0581,0.45748
1F-L1-3.bmp,72,75.182,172.41,48,70660,0,4,5,4,9,9,9,14,11,3,0.44701,0.14426,30,48,0.58333,0.77083,139.17,0,3,3,3,5,10,9,7,6,22,0.81065,0.1516,172.41,172.41,0,1,2,3,4,3,14,13,22,27,0.8371,0.10127,40,27,43,17,9,15,11,8,7,4,0.1099,0.17265,0.752,239.89,6,21,16,36,85,46,22,13,0,0,1.0936,0.44042
1F-L1-4.bmp,76,74.279,166.6,74,72118,4,5,7,6,8,12,6,7,11,4,0.43631,0.17369,43,74,0.5,0.71622,135.14,0,8,4,5,4,6,5,6,8,24,0.77247,0.2234,166.6,166.6,1,3,1,0,6,3,6,16,20,33,0.8387,0.12495,28,27,42,40,20,15,17,7,8,6,0.12386,0.18708,0.76278,249.43,13,43,23,37,87,40,17,17,0,0,1.0461,0.52832
1F-L1-5.bmp,69,63.836,192.77,61,69896,0,7,4,8,9,10,6,11,7,4,0.43526,0.16141,35,61,0.65574,0.85246,170.08,0,16,2,1,4,6,10,6,7,14,0.63431,0.36108,192.77,192.77,2,2,3,1,2,4,4,11,17,44,0.84099,0.15824,16,32,50,37,23,17,8,6,6,6,0.11536,0.18364,0.79056,249.82,11,40,24,23,61,52,25,17,0,0,1.1106,0.57443
1F-L1-6.bmp,74,64.996,188.15,56,73353,2,6,1,5,7,6,12,11,19,2,0.4427,0.128,34,56,0.78571,0.91071,166.82,0,17,0,3,0,4,11,9,12,15,0.64381,0.36283,188.15,188.15,0,0,0,1,4,4,3,9,24,44,0.87791,0.070486,37,42,48,23,18,14,10,5,7,6,0.10725,0.18973,0.79448,262.18,3,35,26,34,79,54,27,11,0,0,1.0734,0.43389
1F-L1-7.bmp,74,63.563,188.95,66,73481,4,6,8,7,12,8,7,12,6,2,0.40449,0.12666,39,66,0.69697,0.83333,169,0,21,1,3,4,5,6,7,12,13,0.60206,0.37596,188.95,188.95,0,0,0,3,2,5,4,10,20,46,0.87612,0.080949,22,46,39,33,28,17,10,8,14,8,0.14058,0.22008,0.79557,263.33,13,41,46,24,98,64,27,15,0,0,1.0536,0.50246
1F-L1-8.bmp,72,68.909,188.13,57,72205,3,4,8,8,9,7,10,14,6,0,0.39205,0.075429,37,57,0.57895,0.91228,164.21,0,9,2,4,2,5,6,9,11,21,0.73325,0.28769,188.13,188.13,0,2,0,2,0,1,1,16,24,42,0.87294,0.096578,30,35,44,27,26,12,9,7,10,6,0.1249,0.21727,0.79504,260.77,4,27,33,21,73,60,38,12,0,0,1.1329,0.55621
1F-L2-1.bmp,66,69.496,188.38,53,62662,2,6,2,8,12,7,6,6,9,6,0.45937,0.19564,35,53,0.45283,0.41509,154.02,0,7,3,1,2,9,9,6,10,17,0.74875,0.26636,188.38,188.38,5,1,5,2,7,7,8,11,18,24,0.78377,0.18687,31,26,32,20,28,19,7,10,7,6,0.12955,0.20463,0.74497,209.34,3,20,17,29,80,50,23,10,0,0,1.1082,0.49791
1F-L2-2.bmp,72,66.139,192.02,47,64669,4,2,6,8,6,6,14,10,5,2,0.41728,0.13289,30,47,0.55319,0.46809,163.45,0,13,2,4,2,8,7,7,9,11,0.69133,0.30505,192.02,192.02,3,2,4,8,5,4,4,8,13,35,0.79725,0.17867,28,14,15,16,20,24,8,11,4,6,0.15018,0.23785,0.75227,218.91,8,35,28,34,77,34,15,4,0,0,0.96986,0.37757
