File name,NFIQ2 score,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
10W-L1-1_zhenpi_bm3d.bmp,39,89.825,147.51,34,63533,10,2,10,6,9,6,8,8,8,2,0.3923,0.14003,19,34,0.44118,0.23529,128.1,0,13,2,6,5,9,12,7,12,3,0.72763,0.23451,148.11,147.51,7,5,9,8,13,14,4,3,7,2,0.64599,0.18591,29,26,34,16,19,8,4,4,2,0,0.068161,0.090652,0.52715,146.02,14,45,12,22,83,33,30,23,0,0,1.1863,0.9675
10W-L1-2_zhenpi_bm3d.bmp,49,86.988,179.74,27,49570,0,5,3,7,9,6,3,8,6,2,0.42677,0.14493,23,27,0.51852,0.18519,142.78,0,3,4,5,3,1,8,9,3,13,0.80574,0.13231,179.14,179.74,17,4,5,4,4,10,8,10,10,0,0.6074,0.26336,15,10,21,19,7,7,4,8,1,6,0.14292,0.23712,0.59736,135.6,10,14,3,31,51,31,13,14,0,0,1.1577,0.63492
10W-L1-3_zhenpi_bm3d.bmp,34,90.418,174.7,25,56077,1,1,8,5,7,10,3,12,6,4,0.44795,0.16968,21,25,0.44,0.04,146.05,0,5,1,3,3,7,10,11,9,8,0.7809,0.19059,172.43,174.7,7,6,8,7,10,13,10,8,3,0,0.64888,0.17634,28,21,15,6,19,17,11,3,2,0,0.086204,0.10052,0.55537,137.18,5,17,15,32,61,20,17,7,0,0,1.0684,0.52948
10W-L1-4_zhenpi_bm3d.bmp,40,85.609,181.9,23,53704,4,2,6,8,8,6,4,9,5,2,0.4071,0.1414,17,23,0.52174,0.17391,152.38,0,4,2,4,4,9,5,9,7,10,0.76676,0.22155,176.57,181.9,10,4,8,4,12,7,12,11,4,0,0.6403,0.21443,42,30,20,13,4,2,2,0,0,0,0.034317,0.036793,0.59019,139.29,10,16,4,28,60,33,25,2,0,0,1.1029,0.67413
10W-L1-5_zhenpi_bm3d.bmp,48,92.625,170.95,21,54752,1,1,5,5,5,10,7,9,6,6,0.47458,0.1983,19,21,0.61905,0.095238,138.39,0,6,2,5,3,3,7,9,8,12,0.76701,0.22091,169.68,170.95,7,6,7,3,7,15,14,8,5,0,0.6582,0.19971,15,13,15,15,15,11,7,7,2,3,0.12721,0.17985,0.58669,141.39,16,16,9,24,64,20,13,16,0,0,1.2201,1.2228
10W-L1-6_zhenpi_bm3d.bmp,52,91.43,149.79,32,71479,3,3,3,8,9,12,8,10,11,1,0.41765,0.11873,16,32,0.5,0.15625,141.54,0,3,1,3,6,9,6,12,11,17,0.80115,0.17711,155.1,149.79,1,3,4,0,10,18,15,11,9,1,0.74468,0.11779,44,14,13,4,15,11,3,2,0,0,0.05328,0.061809,0.59403,179.99,7,28,5,38,93,37,15,17,0,0,1.1099,0.54729
10W-L2-1_zhenpi_bm3d.bmp,6,87.921,155.37,81,54098,6,4,4,4,5,7,3,1,1,21,0.58718,0.32541,65,81,0.46914,0.037037,115.38,0,18,10,7,7,4,2,4,1,3,0.68585,0.22427,161.14,155.37,13,9,7,6,15,7,8,6,1,0,0.57007,0.22213,16,12,14,7,14,8,13,18,13,13,0.27687,0.34246,0.48138,114.09,26,39,10,18,36,24,23,30,0,0,1.2987,1.2386
10W-L2-2_zhenpi_bm3d.bmp,29,84.474,156.28,72,55551,8,9,4,4,3,4,6,3,2,13,0.49836,0.28366,61,72,0.65278,0.041667,119.89,0,10,7,13,4,7,5,7,0,3,0.69425,0.24652,157.85,156.28,8,9,8,6,10,12,6,7,4,2,0.6322,0.18539,19,18,17,18,6,7,15,12,8,9,0.20137,0.29784,0.52023,129.02,20,30,8,16,46,23,15,40,0,0,1.3483,1.2025
10W-L2-3_zhenpi_bm3d.bmp,23,92.269,160,82,51987,9,14,7,3,1,1,5,3,0,15,0.49305,0.30623,67,82,0.69512,0.036585,117.03,0,21,10,6,1,5,5,3,1,6,0.63095,0.2963,164.43,160,9,8,13,13,6,9,7,3,2,2,0.59124,0.19624,12,12,26,12,18,7,11,18,9,4,0.181,0.24531,0.48036,111.44,29,35,9,14,52,32,14,39,0,0,1.2944,1.1459
10W-L2-4_zhenpi_bm3d.bmp,43,83.346,172.28,45,50642,5,5,5,5,6,7,6,1,1,13,0.50974,0.28224,37,45,0.46667,0.15556,131.66,0,15,8,9,6,6,2,3,1,4,0.69047,0.22981,177.05,172.28,7,6,6,4,7,9,11,8,10,4,0.6774,0.20577,25,17,14,13,7,9,4,6,1,0,0.078628,0.10312,0.58218,132.16,21,29,7,19,46,32,18,22,0,0,1.1487,0.89956
