File name,NFIQ2 score,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
10W-L1-1_zhenpi_bm3d.bmp,54,76.505,113.83,48,65921,7,5,6,8,14,5,8,12,3,4,0.40586,0.16485,24,48,0.5625,0.020833,98.735,0,15,6,10,7,8,11,7,6,2,0.70467,0.23975,114.33,113.83,8,6,19,12,11,8,6,2,0,0,0.58375,0.16212,24,28,28,35,25,16,8,8,4,3,0.10609,0.15634,0.4428,127.08,21,49,10,37,58,27,39,25,0,0,1.1028,0.64511
10W-L1-2_zhenpi_bm3d.bmp,36,79.324,139.18,29,52785,4,6,4,7,10,6,5,10,7,7,0.44748,0.20943,24,29,0.58621,0.068966,107.7,0,17,4,3,5,11,7,7,8,4,0.68511,0.27998,138.62,139.18,17,4,2,11,12,9,7,8,1,1,0.56742,0.25643,22,20,20,13,13,8,7,8,9,11,0.18666,0.27949,0.52677,123.26,17,29,7,31,56,36,29,31,0,0,1.2849,1.1611
10W-L1-3_zhenpi_bm3d.bmp,32,80.492,137.77,32,56741,4,7,8,5,9,1,9,9,6,6,0.44178,0.1983,25,32,0.59375,0,111.01,0,11,5,6,7,8,5,12,8,2,0.72208,0.23901,134.54,137.77,7,7,15,13,16,8,6,0,0,0,0.59248,0.15167,22,25,16,16,16,16,18,17,3,2,0.1354,0.18972,0.47399,118.5,27,31,13,30,58,27,14,19,0,0,1.0585,0.78404
10W-L1-4_zhenpi_bm3d.bmp,43,76.338,141.12,31,54820,7,9,9,9,7,6,5,9,3,2,0.37889,0.13434,23,31,0.45161,0,113.51,0,10,4,12,4,5,9,14,3,5,0.74727,0.19883,136.54,141.12,9,7,8,13,14,15,5,1,0,0,0.59699,0.16965,34,34,16,21,11,14,7,4,2,1,0.085279,0.15802,0.49203,119.07,15,23,8,42,69,27,14,32,0,0,1.3166,1.1765
10W-L1-5_zhenpi_bm3d.bmp,33,80.704,135.04,29,55347,4,6,3,9,9,7,7,6,7,5,0.42868,0.18676,24,29,0.65517,0,105.57,0,8,10,5,6,7,7,8,9,3,0.74136,0.20202,132.86,135.04,8,7,12,18,9,9,7,1,1,0,0.58729,0.16506,15,16,10,23,21,18,13,13,6,2,0.14401,0.17532,0.48322,117.42,13,30,15,29,72,28,21,16,0,0,1.1152,0.72827
10W-L1-6_zhenpi_bm3d.bmp,40,78.867,114.92,35,71910,3,3,4,9,12,7,7,13,10,3,0.43025,0.14418,19,35,0.6,0.11429,107.17,0,6,7,8,7,11,12,8,6,6,0.73885,0.22886,118.88,114.92,4,0,14,13,14,7,10,7,3,0,0.66455,0.13838,48,29,16,11,15,12,8,2,1,0,0.059403,0.076554,0.50044,152.14,14,36,15,36,89,31,16,21,0,0,1.1014,0.74423
10W-L2-1_zhenpi_bm3d.bmp,11,80.448,124.61,68,54576,9,7,7,2,9,3,2,2,1,21,0.55166,0.32301,45,68,0.54412,0.029412,87.363,0,20,13,11,4,5,4,4,0,2,0.63495,0.28089,128.12,124.61,9,12,9,11,8,13,4,3,2,1,0.57582,0.2033,16,12,15,19,16,15,21,23,7,10,0.21091,0.25617,0.47242,113.38,33,33,7,20,43,23,25,55,0,0,1.5,1.7455
10W-L2-2_zhenpi_bm3d.bmp,34,77.322,123.45,55,56228,10,9,8,3,7,6,3,4,1,13,0.46907,0.27602,41,55,0.54545,0.090909,90.608,0,14,14,11,3,7,4,4,5,2,0.67341,0.26038,123.52,123.45,7,10,11,6,7,11,5,6,6,3,0.63418,0.18543,23,17,20,17,8,11,19,25,12,11,0.237,0.32891,0.52445,131.64,32,47,11,16,52,30,21,46,0,0,1.2956,1.1832
10W-L2-3_zhenpi_bm3d.bmp,14,79.99,128.12,97,52747,15,11,5,5,2,3,2,1,1,16,0.48822,0.31055,73,97,0.4433,0.020619,91.341,0,26,8,10,8,3,1,2,2,1,0.60771,0.29018,130.09,128.12,9,16,14,9,14,4,2,2,2,0,0.54998,0.17014,12,9,21,19,20,18,18,25,5,6,0.18821,0.24274,0.41592,98.573,37,35,12,23,62,23,19,43,0,0,1.2621,1.158
10W-L2-4_zhenpi_bm3d.bmp,22,79.01,134.64,44,51560,7,6,4,12,5,3,3,6,1,11,0.47238,0.26353,32,44,0.5,0.25,97.33,0,14,8,4,8,8,8,3,3,2,0.70603,0.22516,137.57,134.64,7,8,6,5,9,7,7,8,9,6,0.66947,0.20887,20,18,21,17,4,8,6,18,5,1,0.13785,0.19533,0.6008,138.79,20,44,12,13,44,35,21,30,0,0,1.1765,0.863
10W-L2-5_zhenpi_bm3d.bmp,36,77.549,142.91,50,46504,7,7,6,9,2,5,2,2,2,17,0.52963,0.30659,36,50,0.38,0.18,99.285,0,17,7,8,5,7,4,5,5,1,0.65366,0.284,147.91,142.91,8,13,10,5,4,9,11,5,6,1,0.60894,0.20849,8,28,18,18,14,15,11,8,8,3,0.14976,0.22556,0.53502,112.35,26,34,13,14,41,19,26,26,0,0,1.2566,1.2654
10W-L2-6_zhenpi_bm3d.bmp,21,80.766,131.45,53,54133,7,4,5,4,7,9,3,1,1,13,0.50386,0.28524,45,53,0.50943,0.15094,97.625,0,14,5,6,6,9,5,3,4,2,0.68973,0.25098,136.17,131.45,7,6,8,9,7,2,12,9,7,5,0.66681,0.20432,26,28,19,11,7,10,13,12,9,1,0.13251,0.19076,0.58622,140.11,28,28,15,13,46,17,19,30,0,0,1.1681,0.84764
10W-L3-1_zhenpi_bm3d.bmp,30,82.088,117,99,60247,16,17,4,8,7,3,2,2,0,8,0.38341,0.23686,59,99,0.58586,0,89.207,0,31,8,11,9,3,3,1,1,0,0.58027,0.30252,120.03,117,8,15,13,12,12,10,2,0,0,0,0.55198,0.15704,20,18,10,17,18,23,17,21,9,6,0.1919,0.25416,0.40899,108.79,39,56,11,11,38,32,24,56,0,0,1.4293,1.6211
10W-L3-2_zhenpi_bm3d.bmp,41,81.93,126.01,95,54137,15,11,7,9,1,3,3,3,1,12,0.43947,0.27594,57,95,0.47368,0,88.382,0,16,18,7,12,3,7,1,1,0,0.69063,0.20582,126.32,126.01,5,17,15,11,10,7,5,2,0,0,0.5632,0.15695,15,18,14,19,13,18,22,18,2,2,0.15445,0.22706,0.45324,108.78,42,45,16,20,59,13,16,47,0,0,1.2783,1.4629
10W-L3-3_zhenpi_bm3d.bmp,25,81.024,129.64,66,52738,2,7,7,11,3,3,6,3,1,13,0.50092,0.28169,52,66,0.43939,0.10606,90.669,0,18,14,7,6,5,1,4,1,0,0.64966,0.25097,136.82,129.64,15,8,5,7,10,7,4,9,5,2,0.58942,0.23043,12,12,22,22,13,19,12,21,6,3,0.16207,0.19266,0.52721,122.84,19,31,13,13,48,20,25,36,0,0,1.256,0.87229
10W-L3-4_zhenpi_bm3d.bmp,26,79.656,117.06,67,59894,10,15,4,10,3,3,2,6,1,12,0.45208,0.26703,43,67,0.70149,0,90.48,0,24,11,8,7,4,7,5,0,0,0.59412,0.31266,118.85,117.06,4,11,24,8,13,7,2,1,2,0,0.57362,0.13724,16,12,12,11,10,15,17,15,11,11,0.24992,0.32421,0.41674,109.6,29,37,11,21,53,36,27,46,0,0,1.3288,1.1113
10W-L3-5_zhenpi_bm3d.bmp,34,83.001,114.7,95,62113,13,10,9,7,3,9,5,2,1,11,0.43302,0.25369,65,95,0.75789,0.021053,89.41,0,28,10,9,7,7,3,5,1,0,0.63797,0.26653,116.6,114.7,9,14,10,12,8,8,8,1,2,0,0.57467,0.17546,24,22,21,16,16,20,12,18,13,18,0.24041,0.3472,0.45943,124.51,34,58,12,15,61,28,22,44,0,0,1.2221,1.1247
10W-L3-6_zhenpi_bm3d.bmp,37,83.28,121.58,96,57261,20,10,3,6,6,3,6,1,1,14,0.45078,0.2841,57,96,0.58333,0.041667,88.731,0,18,13,13,5,7,7,4,2,1,0.65311,0.27182,122.35,121.58,5,12,13,10,15,4,8,4,1,0,0.5919,0.1709,17,13,27,16,15,9,17,19,10,12,0.22835,0.32536,0.4875,124.8,27,53,15,24,51,17,26,45,0,0,1.2977,1.2757
10W-R1-1_zhenpi_bm3d.bmp,56,78.589,136.45,22,65195,6,5,1,5,6,10,7,14,15,1,0.41926,0.12209,14,22,0.77273,0.27273,123.1,0,8,2,2,3,9,7,13,5,21,0.78274,0.20234,137.64,136.45,2,4,5,1,11,14,9,7,16,3,0.73578,0.14774,24,21,32,22,21,7,6,2,8,4,0.12229,0.20547,0.61357,173.03,16,28,8,42,85,24,23,16,0,0,1.1015,0.7345
10W-R1-2_zhenpi_bm3d.bmp,47,81.733,129.56,27,61970,1,5,5,2,9,9,7,13,12,0,0.41508,0.079758,18,27,0.51852,0.18519,110.16,0,1,7,3,7,7,8,7,13,10,0.81022,0.11604,132.71,129.56,7,1,1,8,17,13,7,8,6,4,0.68531,0.19906,25,29,15,17,11,10,22,7,8,10,0.18347,0.28573,0.60126,160.54,5,32,5,38,55,21,33,17,0,0,1.1816,0.73339
10W-R1-3_zhenpi_bm3d.bmp,39,75.645,134.33,42,57936,7,7,7,3,5,2,5,20,11,2,0.42336,0.1427,37,42,0.40476,0.095238,114.35,0,10,2,7,4,6,13,8,8,11,0.71516,0.28109,136.26,134.33,5,5,9,9,12,13,3,6,8,2,0.66184,0.17226,39,32,29,9,10,6,2,3,0,0,0.050581,0.066224,0.54483,138.39,18,34,5,28,80,30,25,13,0,0,1.0406,0.47504
10W-R1-4_zhenpi_bm3d.bmp,39,67.845,155.64,31,45200,6,4,5,6,3,8,7,9,8,4,0.43696,0.17733,28,31,0.25806,0.096774,126.15,0,11,5,5,6,3,9,2,10,9,0.68224,0.30994,153.35,155.64,13,8,3,13,12,7,5,5,5,1,0.59186,0.22049,27,11,6,4,4,5,5,3,4,0,0.096651,0.15196,0.53704,110.63,11,29,13,31,58,20,19,18,0,0,1.2383,1.3844
10W-R1-5_zhenpi_bm3d.bmp,44,75.48,122.85,27,71736,2,4,6,8,6,9,10,13,12,1,0.42423,0.1121,11,27,0.74074,0.25926,116.9,0,3,2,5,7,11,16,11,4,12,0.80756,0.1077,122.41,122.85,2,3,12,11,9,10,9,5,7,4,0.69264,0.15315,48,34,23,16,8,5,3,0,0,0,0.039509,0.040587,0.54488,165.1,5,31,16,26,88,25,22,12,0,0,1.0858,0.54421
10W-R1-6_zhenpi_bm3d.bmp,38,77.05,138.87,26,58293,8,3,5,7,4,4,6,18,10,2,0.42295,0.1429,19,26,0.53846,0.076923,118.46,0,7,9,6,2,8,7,6,7,15,0.76306,0.20322,141.37,138.87,4,3,14,15,8,9,8,7,2,2,0.65124,0.16081,39,24,11,6,0,15,1,3,2,1,0.07292,0.13912,0.52623,135.77,9,27,4,42,72,28,15,19,0,0,1.169,0.77279
10W-R2-1_zhenpi_bm3d.bmp,38,77.737,126.65,37,61692,6,3,10,11,6,6,11,7,3,6,0.42425,0.19172,23,37,0.64865,0.081081,106.53,0,10,8,14,7,8,9,9,3,1,0.72317,0.20884,130.43,126.65,5,8,16,10,11,10,7,5,0,0,0.61108,0.15567,20,16,19,32,16,24,20,16,5,5,0.15895,0.21505,0.48989,132.76,26,40,10,26,59,41,21,25,0,0,1.1477,0.96782
10W-R2-2_zhenpi_bm3d.bmp,36,76.591,145.81,46,47960,7,8,9,9,4,5,4,11,2,7,0.42297,0.21476,23,46,0.23913,0.043478,104.59,0,18,6,9,9,7,6,6,2,3,0.6274,0.31466,142.5,145.81,13,9,12,7,15,4,7,4,1,0,0.55982,0.19804,10,7,7,12,30,24,18,22,11,10,0.23485,0.26947,0.49518,107.95,22,34,5,18,50,17,20,25,0,0,1.2539,1.2807
10W-R2-3_zhenpi_bm3d.bmp,34,77.11,136.91,28,59065,3,5,5,9,7,7,8,6,3,7,0.44775,0.2119,20,28,0.60714,0.071429,115.04,0,8,5,6,10,13,4,10,3,1,0.74667,0.17907,138.36,136.91,11,6,12,11,15,8,6,3,0,0,0.58083,0.18891,15,17,16,21,14,12,13,8,5,4,0.14344,0.20517,0.47528,121.67,17,19,11,29,49,31,20,15,0,0,1.1012,0.60693
10W-R2-4_zhenpi_bm3d.bmp,25,77.032,130.91,48,57413,7,9,8,4,8,6,5,3,3,9,0.44149,0.24143,45,48,0.6875,0,103.07,0,16,13,5,7,9,5,2,3,2,0.65424,0.27506,129.44,130.91,10,13,11,16,13,5,3,1,0,0,0.54279,0.17453,26,8,16,10,15,30,15,7,7,6,0.15834,0.19929,0.4398,110.83,24,42,15,15,40,32,23,31,0,0,1.1619,0.76999
10W-R2-5_zhenpi_bm3d.bmp,34,78.489,136.62,57,51591,15,2,7,6,4,5,6,4,2,6,0.40548,0.21971,33,57,0.40351,0.017544,100.23,0,5,13,9,10,7,6,5,0,2,0.711,0.22444,141.23,136.62,5,8,13,14,13,6,10,2,1,0,0.61199,0.14855,21,19,13,22,27,20,13,7,0,0,0.092869,0.081731,0.48857,109.93,22,38,9,22,47,23,25,40,0,0,1.2696,0.92326
10W-R2-6_zhenpi_bm3d.bmp,39,76.236,136.75,61,51430,7,4,10,4,5,7,4,7,1,5,0.41567,0.20026,48,61,0.21311,0.081967,103.58,0,10,6,9,2,8,3,8,4,4,0.74059,0.19127,145.47,136.75,4,3,14,9,10,11,5,6,8,2,0.67237,0.15373,13,17,26,28,26,24,11,5,2,0,0.093404,0.081355,0.52478,118.07,19,22,4,18,54,34,18,26,0,0,1.266,1.0591
10W-R3-1_zhenpi_bm3d.bmp,36,77.416,136.93,55,56800,14,4,5,9,6,3,9,9,4,5,0.40319,0.19202,35,55,0.69091,0,113.75,0,18,5,11,5,9,7,7,3,3,0.66433,0.28186,138.15,136.93,4,10,16,11,11,10,7,3,0,0,0.60183,0.14514,21,28,26,23,15,19,8,13,5,5,0.13818,0.22236,0.47431,118.58,24,34,12,29,63,35,21,33,0,0,1.1919,0.89827
10W-R3-2_zhenpi_bm3d.bmp,26,77.163,146.31,33,41648,8,5,2,8,3,2,2,8,2,5,0.42592,0.21841,28,33,0.030303,0.030303,94.522,0,10,5,5,8,5,6,5,1,0,0.68814,0.2483,148.83,146.31,6,7,12,10,10,14,8,2,1,2,0.62132,0.17679,14,20,24,16,18,16,6,2,0,0,0.074064,0.060212,0.48562,88.869,18,21,2,20,44,17,24,23,0,0,1.2182,0.83812
10W-R3-3_zhenpi_bm3d.bmp,25,75.718,123.8,59,67923,6,7,6,7,5,7,5,7,3,6,0.42915,0.20865,37,59,0.59322,0.033898,112.37,0,12,9,5,5,6,5,5,4,8,0.69513,0.26309,132.79,123.8,4,9,9,13,10,11,9,2,4,1,0.6276,0.17517,9,14,15,17,42,33,22,20,7,3,0.15857,0.16615,0.50169,148.5,23,27,6,15,57,21,21,34,0,0,1.3028,1.0971
10W-R3-4_zhenpi_bm3d.bmp,30,78.983,134.5,80,51116,9,13,7,7,8,5,2,3,3,6,0.39618,0.20886,59,80,0.275,0,96.718,0,16,8,11,6,9,8,3,2,0,0.66918,0.26028,134.29,134.5,7,17,19,11,8,3,5,1,1,0,0.5382,0.15691,14,11,19,24,30,20,8,12,10,4,0.16384,0.22799,0.40741,93.298,23,31,7,35,56,30,38,33,0,0,1.2718,1.0018
10W-R3-5_zhenpi_bm3d.bmp,25,78.383,143.84,36,43898,2,11,2,5,3,4,4,4,3,5,0.43571,0.21982,30,36,0.13889,0,93.982,0,9,6,6,5,4,2,7,2,2,0.70793,0.23324,151.93,143.84,13,9,14,7,9,7,9,4,0,0,0.54479,0.22236,11,8,6,19,16,29,16,8,4,2,0.14788,0.15058,0.46516,85.125,9,10,0,19,37,15,22,17,0,0,1.311,0.84703
10W-R3-6_zhenpi_bm3d.bmp,23,81.449,139.95,40,45384,7,6,4,8,3,4,3,5,2,6,0.43016,0.22991,32,40,0.075,0,90.157,0,9,10,8,9,3,2,2,4,1,0.68713,0.24041,144.06,139.95,9,17,12,13,10,5,4,0,1,1,0.5451,0.17337,19,15,16,17,14,10,18,6,1,2,0.11162,0.14618,0.41639,82.862,13,28,4,16,44,22,16,16,0,0,1.1276,0.67639
