File name,NFIQ2 score,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
10W-L1-1_zhenpi_bm3d.bmp,45,49.608,161.11,53,45939,6,6,5,4,4,6,2,5,4,10,0.4828,0.2653,33,53,0.32075,0.16981,144.28,0,17,5,2,7,2,6,9,3,1,0.62918,0.31347,161.66,161.11,7,8,7,6,6,5,4,2,3,6,0.60648,0.22726,7,14,17,13,20,14,14,16,6,7,0.19969,0.261,0.52706,110.15,17,39,25,26,65,25,21,31,0,0,1.1637,0.8554
10W-L1-2_zhenpi_bm3d.bmp,41,50.626,160.06,37,36945,2,4,3,6,6,6,5,4,5,4,0.44023,0.19149,29,37,0.51351,0.10811,140.53,0,8,8,9,2,5,4,4,4,1,0.69139,0.25035,160.49,160.06,7,4,8,3,5,1,3,9,5,0,0.61114,0.23683,20,19,15,12,6,6,6,7,9,6,0.1698,0.2564,0.59622,99.569,16,28,13,22,62,29,14,16,0,0,1.0756,0.67242
10W-L1-3_zhenpi_bm3d.bmp,35,49.637,148.22,35,48352,4,6,7,7,1,3,6,7,3,10,0.48888,0.25567,29,35,0.74286,0.057143,136.58,0,10,5,11,3,6,6,4,6,3,0.71141,0.23516,146.94,148.22,0,4,4,10,11,13,7,4,1,0,0.68185,0.11044,9,12,13,28,28,19,10,8,4,3,0.14188,0.18933,0.53908,114.83,11,35,11,34,61,23,11,22,0,0,1.1008,0.7589
10W-L1-4_zhenpi_bm3d.bmp,37,47.351,157.41,31,46856,2,2,4,6,8,5,7,6,6,7,0.48317,0.21795,22,31,0.64516,0.064516,146.4,0,7,3,8,6,5,7,7,5,5,0.75102,0.19321,156.12,157.41,0,2,6,11,9,9,11,5,1,0,0.69589,0.10442,19,20,21,19,18,13,11,0,0,0,0.0716,0.058814,0.56612,116.62,9,28,6,29,70,39,21,16,0,0,1.1412,0.65607
10W-L1-5_zhenpi_bm3d.bmp,45,50.575,161.79,37,51640,3,3,3,4,6,3,9,8,5,10,0.50895,0.2456,32,37,0.7027,0.081081,149.33,0,11,3,3,6,8,9,7,3,4,0.69607,0.27331,161.13,161.79,0,2,6,9,9,13,12,3,0,0,0.69429,0.10195,9,20,16,8,27,18,11,7,2,4,0.13661,0.1772,0.553,120.55,15,32,11,27,53,27,22,23,0,0,1.1466,0.76057
10W-L1-6_zhenpi_bm3d.bmp,42,51.339,164.23,40,51226,1,3,2,6,7,6,6,10,4,7,0.48247,0.21463,20,40,0.6,0.125,149.09,0,5,7,7,2,8,6,9,3,5,0.75136,0.19394,165.97,164.23,1,4,11,12,11,8,12,2,2,0,0.6624,0.12951,19,18,20,12,13,14,13,4,1,0,0.089335,0.090354,0.5312,113.15,3,21,17,23,56,46,20,10,0,0,1.1391,0.61176
10W-L2-1_zhenpi_bm3d.bmp,2,55.88,171.52,128,44600,11,3,4,6,0,1,0,1,0,24,0.63004,0.35897,111,128,0.57031,0.10938,143.5,0,29,4,6,2,3,4,1,0,1,0.45931,0.36357,176.1,171.52,3,5,7,9,6,7,7,3,12,4,0.69064,0.19019,2,7,6,7,2,3,17,23,19,18,0.44152,0.39642,0.55659,106.87,32,37,12,7,48,17,23,54,0,0,1.462,1.6366
10W-L2-2_zhenpi_bm3d.bmp,26,50.531,161.84,69,49951,7,3,4,8,4,2,4,2,0,16,0.54816,0.31467,66,69,0.30435,0.15942,143.33,0,19,6,7,4,5,3,4,1,1,0.62027,0.29646,166.93,161.84,5,3,2,7,4,6,6,9,9,3,0.70246,0.19636,15,11,11,11,7,5,11,10,16,15,0.30472,0.34614,0.59964,131.92,25,36,24,9,52,35,19,32,0,0,1.1795,0.87475
10W-L2-3_zhenpi_bm3d.bmp,28,46.228,156.33,66,55876,5,5,4,5,4,2,3,4,1,19,0.586,0.32026,52,66,0.48485,0.30303,148.13,0,19,10,5,6,2,4,3,2,1,0.65971,0.24639,161.81,156.33,3,4,3,2,3,9,9,4,8,9,0.73191,0.1928,15,16,18,11,7,5,4,8,10,11,0.23211,0.33028,0.59166,146.14,24,31,16,11,65,35,17,46,0,0,1.3581,1.1974
10W-L2-4_zhenpi_bm3d.bmp,20,47.419,157.5,83,42989,9,6,4,6,3,1,4,1,0,19,0.56055,0.33275,67,83,0.26506,0.14458,140.01,0,26,7,10,0,0,5,4,0,1,0.57509,0.31634,164.86,157.5,1,2,3,4,8,7,8,7,4,10,0.75338,0.14291,15,15,22,12,7,10,4,8,11,0,0.14603,0.19937,0.63298,122.16,28,44,28,9,60,24,21,46,0,0,1.3118,1.2202
