File name,NFIQ2 score,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
10W-L1-1_zhenpi_bm3d.bmp,31,75.868,109.58,59,66931,8,9,2,10,8,9,5,14,3,4,0.40737,0.16444,35,59,0.50847,0.067797,103.67,0,17,4,10,4,7,6,9,6,9,0.69456,0.27143,110.44,109.58,5,7,8,15,7,8,8,7,5,2,0.64528,0.18326,32,37,28,26,18,8,8,6,2,2,0.084924,0.14458,0.52439,151.55,15,53,14,26,87,33,31,34,0,0,1.2226,0.91348
10W-L1-2_zhenpi_bm3d.bmp,41,70.567,113.63,52,60216,4,3,7,6,7,8,8,6,9,9,0.47507,0.22184,36,52,0.44231,0.15385,112.43,0,16,2,5,6,6,2,5,14,11,0.71009,0.27318,113.66,113.63,16,5,1,1,12,7,8,8,8,6,0.62771,0.26716,28,21,15,16,6,9,9,17,7,10,0.19215,0.28797,0.57082,151.84,11,26,8,21,80,40,24,30,0,0,1.3023,1.1718
10W-L1-3_zhenpi_bm3d.bmp,34,72.997,115.6,46,61826,3,3,8,7,6,8,13,2,9,11,0.49003,0.2326,28,46,0.41304,0.086957,113.45,0,11,4,6,6,7,9,7,8,12,0.70312,0.29161,114.73,115.6,4,10,7,8,7,8,5,6,10,7,0.67625,0.19004,22,28,22,19,18,25,12,16,0,2,0.1076,0.12,0.5881,158.2,15,26,11,29,70,30,16,30,0,0,1.3349,1.4122
10W-L1-4_zhenpi_bm3d.bmp,32,66.755,115.6,44,62927,11,4,6,6,9,8,6,12,5,3,0.39706,0.15435,29,44,0.5,0.18182,114.12,0,10,7,10,3,4,9,8,9,10,0.74735,0.2167,114.18,115.6,4,9,6,6,10,13,13,3,5,3,0.66282,0.17686,38,34,14,14,11,14,8,11,3,1,0.098191,0.17085,0.54059,149.74,12,26,12,26,62,44,12,20,0,0,1.1564,0.75942
10W-L1-5_zhenpi_bm3d.bmp,36,71.782,110.92,35,62643,8,4,6,5,7,10,10,7,6,6,0.43437,0.19251,26,35,0.54286,0.11429,107.72,0,9,8,8,3,6,9,11,7,8,0.74361,0.21661,110.92,110.92,3,9,5,8,9,12,11,6,5,4,0.67227,0.17454,19,16,20,13,21,23,8,13,4,3,0.13838,0.17343,0.56948,154.9,20,29,8,35,65,29,18,19,0,0,1.1213,0.83703
10W-L1-6_zhenpi_bm3d.bmp,42,81.044,112.17,41,77390,2,2,8,7,5,11,7,15,13,1,0.42684,0.11215,16,41,0.58537,0.26829,111.83,0,7,0,5,2,10,12,8,14,13,0.77266,0.21803,114.84,112.17,1,2,4,5,15,9,12,7,12,5,0.74787,0.1279,49,21,13,16,14,19,5,2,1,0,0.062282,0.079989,0.58523,189.03,11,17,11,32,109,39,17,17,0,0,1.1772,0.79339
10W-L2-1_zhenpi_bm3d.bmp,39,61.588,101.39,103,75190,10,10,9,7,4,8,3,1,1,11,0.44415,0.25996,62,103,0.5534,0.07767,100.52,0,17,8,14,12,5,4,2,1,1,0.67403,0.24155,103.58,101.39,7,15,9,7,10,7,7,3,2,5,0.60302,0.19814,8,17,24,20,19,17,23,19,6,6,0.17411,0.20517,0.47349,150.57,35,43,12,19,57,21,26,51,0,0,1.3365,1.1938
10W-L2-2_zhenpi_bm3d.bmp,35,59.636,102.87,96,61783,10,5,7,11,5,10,1,4,1,14,0.47615,0.27401,69,96,0.6875,0.11458,95.084,0,17,10,10,8,6,10,4,2,1,0.71583,0.18844,103.25,102.87,5,13,9,8,3,8,5,6,9,6,0.65124,0.1941,24,10,34,17,13,16,19,21,6,9,0.19319,0.30194,0.54383,147.38,31,28,6,16,68,38,27,46,0,0,1.3114,0.99146
10W-L2-3_zhenpi_bm3d.bmp,45,66.377,104.32,100,62120,11,11,9,9,3,5,6,6,0,10,0.42741,0.24381,72,100,0.56,0.05,96.863,0,18,11,11,9,9,3,7,0,2,0.63541,0.29356,107.31,104.32,11,10,7,11,7,15,3,4,3,1,0.59827,0.19251,12,13,27,22,14,16,11,21,11,3,0.16684,0.19835,0.48071,130.27,29,37,8,36,72,32,22,37,0,0,1.2679,1.3269
10W-L2-4_zhenpi_bm3d.bmp,25,62.488,105.98,76,60021,5,6,4,8,9,8,4,3,1,13,0.49188,0.27002,48,76,0.51316,0.27632,101.37,0,17,6,11,6,12,4,1,2,2,0.67401,0.25001,108.77,105.98,8,8,5,9,3,6,6,3,11,13,0.68277,0.21996,19,24,15,21,11,11,6,19,5,0,0.12452,0.14907,0.59983,157.75,28,40,10,24,44,30,23,34,0,0,1.2605,1.1965
