File name,NFIQ2 score,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
10W-L1-1_zhenpi_bm3d.bmp,34,81.428,110.93,40,65495,7,3,4,11,9,11,7,9,4,6,0.42914,0.19018,16,40,0.325,0.175,91.732,0,16,3,8,3,8,8,10,8,7,0.72854,0.2309,111.9,110.93,5,5,8,11,10,10,10,6,2,5,0.66397,0.1732,23,18,17,37,21,22,21,9,7,4,0.13564,0.17765,0.56806,161.9,25,55,3,29,52,25,35,23,0,0,1.1025,0.87592
10W-L1-2_zhenpi_bm3d.bmp,53,87.061,150.48,22,52309,0,4,1,6,8,6,7,12,6,2,0.43558,0.13321,17,22,0.63636,0.40909,112.13,0,1,4,3,7,5,9,5,9,9,0.82115,0.052185,150.22,150.48,5,2,3,5,11,5,9,16,8,8,0.72979,0.18612,26,10,22,11,13,10,10,5,3,6,0.13845,0.22531,0.65367,152.96,5,21,6,26,46,26,32,9,0,0,1.1295,0.47912
10W-L1-3_zhenpi_bm3d.bmp,41,84.685,150.48,29,56323,2,3,4,8,6,6,7,6,11,4,0.45127,0.17325,25,29,0.31034,0.31034,118.75,0,8,2,7,1,4,3,12,5,15,0.76555,0.22035,147.11,150.48,6,2,6,5,7,7,6,10,9,11,0.72645,0.18536,22,16,15,12,10,13,16,9,3,2,0.12855,0.16496,0.68755,169.14,6,24,9,19,63,21,17,12,0,0,1.1694,0.76413
10W-L1-4_zhenpi_bm3d.bmp,43,81.322,155.26,27,54258,2,6,3,10,5,6,7,8,5,2,0.40978,0.13771,18,27,0.2963,0.33333,122.01,0,0,3,4,5,7,9,7,8,11,0.82685,0.047182,149.78,155.26,4,3,3,6,6,9,12,7,10,6,0.72325,0.17767,19,29,18,21,7,12,2,2,0,0,0.059454,0.06394,0.63716,151.64,3,20,10,31,52,29,21,16,0,0,1.2332,0.99997
10W-L1-5_zhenpi_bm3d.bmp,49,85.97,143.6,27,54484,1,2,4,7,8,6,10,5,8,4,0.44897,0.17408,23,27,0.74074,0.33333,106.96,0,5,2,6,2,5,8,9,8,10,0.77592,0.19438,140.91,143.6,7,3,3,5,9,5,9,9,11,6,0.70124,0.21014,21,10,8,14,11,18,13,6,6,3,0.15051,0.1997,0.66556,159.07,7,31,8,20,48,20,17,5,0,0,1.0069,0.43011
10W-L1-6_zhenpi_bm3d.bmp,44,82.136,117.78,34,71663,2,3,2,9,14,6,11,7,12,3,0.43465,0.14477,18,34,0.41176,0.23529,108.37,0,7,4,6,7,13,6,13,5,8,0.78022,0.14869,123.93,117.78,2,4,7,7,6,13,9,9,8,7,0.726,0.15072,33,36,17,10,18,17,10,5,1,1,0.084816,0.14471,0.59865,181.99,4,32,10,20,69,30,28,14,0,0,1.1435,0.55596
10W-L2-1_zhenpi_bm3d.bmp,13,89.853,126.46,57,54612,9,5,5,5,4,5,1,0,2,22,0.58587,0.33025,44,57,0.38596,0.15789,82.058,0,15,7,11,5,5,6,3,0,6,0.6996,0.22611,131.03,126.46,8,11,5,6,9,3,7,8,12,2,0.63415,0.23563,16,10,21,8,8,13,14,21,9,13,0.25917,0.32195,0.56757,136.78,22,31,5,13,28,17,18,41,0,0,1.4979,1.4809
10W-L2-2_zhenpi_bm3d.bmp,25,86.713,122.61,62,56001,6,11,6,7,6,3,5,5,0,12,0.46894,0.27024,49,62,0.51613,0.12903,82.351,0,13,8,12,5,10,3,4,2,4,0.69596,0.23696,123.52,122.61,6,7,5,11,7,4,6,11,7,7,0.68155,0.19566,17,18,17,11,5,9,14,19,11,12,0.25279,0.34767,0.58395,146.57,23,47,12,15,40,24,20,46,0,0,1.4774,1.73
10W-L2-3_zhenpi_bm3d.bmp,23,87.665,131.45,51,51740,5,9,8,4,3,0,6,1,1,16,0.53198,0.31365,41,51,0.29412,0.19608,84.141,0,13,8,5,6,5,3,5,2,6,0.71414,0.21597,135.41,131.45,6,7,6,6,6,6,6,6,10,12,0.69188,0.21625,12,16,17,12,5,9,10,16,6,6,0.20062,0.28405,0.63055,146.29,20,37,11,18,26,25,22,24,0,0,1.1422,0.77727
10W-L2-4_zhenpi_bm3d.bmp,40,88.418,140.98,37,51199,3,6,5,11,5,3,1,7,1,9,0.46893,0.25333,28,37,0.21622,0.32432,95.353,0,10,6,6,7,7,6,3,4,2,0.74465,0.16276,146.12,140.98,7,9,3,4,3,8,9,7,7,14,0.69531,0.22212,24,21,13,18,5,9,3,10,0,0,0.080691,0.09513,0.66022,152.51,15,40,12,16,37,30,19,20,0,0,1.1269,0.71759
