File name,NFIQ2 score,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
10W-L1-1_zhenpi_bm3d.bmp,45,59.385,108.88,35,65180,3,3,6,8,6,12,11,9,8,6,0.44717,0.18382,24,35,0.4,0.25714,95.896,0,9,5,6,4,8,8,14,12,6,0.77877,0.14814,109.38,108.88,6,3,6,8,10,6,14,9,6,4,0.68625,0.18356,24,31,26,40,10,12,5,6,6,3,0.10336,0.16614,0.58879,166.04,15,44,13,37,71,29,27,23,0,0,1.1228,0.69285
10W-L1-2_zhenpi_bm3d.bmp,31,60.913,133.67,27,51625,2,2,6,3,9,6,7,9,10,10,0.50228,0.23022,20,27,0.44444,0.37037,108.35,0,10,1,5,2,8,8,10,8,12,0.77411,0.18468,133.82,133.67,13,6,1,2,3,11,9,8,14,5,0.66378,0.25557,18,16,18,13,11,7,7,8,3,7,0.1563,0.2491,0.65944,152.33,10,22,4,30,53,38,25,14,0,0,1.2209,1.0446
10W-L1-3_zhenpi_bm3d.bmp,45,63.955,134.8,24,56323,1,3,3,9,6,3,8,12,11,5,0.46804,0.179,20,24,0.45833,0.29167,112.42,0,7,1,3,4,4,8,10,12,12,0.76428,0.23414,132.44,134.8,2,6,4,3,10,11,8,8,12,8,0.734,0.16533,28,21,13,19,10,13,13,7,3,0,0.096655,0.11772,0.67195,166.64,7,20,14,28,74,15,19,11,0,0,1.112,0.73539
10W-L1-4_zhenpi_bm3d.bmp,30,59.759,136.96,25,54103,6,4,6,6,4,10,6,9,7,6,0.44407,0.199,17,25,0.36,0.44,114.82,0,8,4,5,4,7,7,7,9,13,0.77727,0.1839,133.15,136.96,6,6,4,3,5,8,7,14,11,8,0.71244,0.1986,38,26,20,11,5,7,4,1,0,0,0.04454,0.048705,0.66828,158.38,10,27,12,31,68,34,14,11,0,0,1.0485,0.4887
10W-L1-5_zhenpi_bm3d.bmp,36,63.985,129.64,21,54789,5,5,1,10,6,4,8,8,10,5,0.44461,0.19068,19,21,0.71429,0.42857,105.01,0,5,5,4,5,6,7,8,10,12,0.80164,0.12097,128.38,129.64,5,9,4,1,5,8,12,11,12,5,0.70197,0.2035,14,19,11,15,18,10,10,7,2,3,0.12707,0.17615,0.67345,161.63,11,28,15,24,64,25,12,12,0,0,1.0308,0.47096
10W-L1-6_zhenpi_bm3d.bmp,55,61.728,112.35,36,71691,3,1,5,4,11,8,11,10,15,2,0.4393,0.13494,13,36,0.61111,0.36111,106.04,0,4,2,3,7,10,10,10,11,13,0.8016,0.14841,116.04,112.35,1,1,3,3,9,11,12,11,12,9,0.77664,0.12017,42,19,9,12,17,9,6,1,0,0,0.057262,0.064636,0.64118,194.92,13,24,11,45,95,25,13,12,0,0,1.032,0.48583
10W-L2-1_zhenpi_bm3d.bmp,8,60.74,116.6,89,54516,6,2,5,5,6,5,4,0,1,28,0.64037,0.32973,69,89,0.42697,0.044944,86.862,0,17,11,8,8,5,4,4,1,4,0.66361,0.2633,120.32,116.6,8,11,9,5,12,6,3,9,7,2,0.61777,0.21072,16,15,20,13,13,11,18,23,7,10,0.21527,0.27355,0.54379,130.51,25,27,2,16,30,30,24,41,0,0,1.4324,1.3502
10W-L2-2_zhenpi_bm3d.bmp,16,58.66,115.46,64,55836,9,5,7,6,8,6,2,4,1,14,0.4897,0.28258,50,64,0.5,0.14062,88.494,0,10,14,9,8,5,7,3,2,4,0.69707,0.23412,116.64,115.46,4,12,7,6,9,6,9,7,7,5,0.66372,0.19235,25,18,22,10,5,12,13,24,9,10,0.22737,0.33732,0.57433,142.43,27,37,11,15,45,25,17,41,0,0,1.3453,1.2834
10W-L2-3_zhenpi_bm3d.bmp,19,64.558,122.02,63,52018,6,10,4,6,3,2,4,2,1,23,0.58689,0.32641,51,63,0.50794,0.14286,88.219,0,18,9,9,6,6,3,5,2,3,0.66429,0.2659,125.06,122.02,6,7,11,6,6,7,5,10,7,7,0.66726,0.20093,13,21,13,17,7,18,16,20,5,7,0.19167,0.25495,0.58292,135.24,21,26,10,20,43,24,31,37,0,0,1.2855,0.95429
10W-L2-4_zhenpi_bm3d.bmp,31,59.165,127.12,41,50954,4,6,7,6,8,3,2,6,2,17,0.53716,0.29403,36,41,0.41463,0.2439,96.925,0,12,7,13,5,8,8,5,1,2,0.71864,0.19839,130.68,127.12,8,8,6,4,6,5,6,9,8,12,0.68176,0.22126,27,18,17,11,10,5,8,12,4,0,0.10758,0.14167,0.64008,146.58,19,44,12,15,42,34,21,23,0,0,1.1388,0.87881
10W-L2-5_zhenpi_bm3d.bmp,26,59.264,135.39,43,45644,2,5,4,6,5,5,2,2,2,21,0.61026,0.31623,32,43,0.32558,0.27907,98.794,0,14,6,10,3,6,5,5,1,4,0.63678,0.30845,140.92,135.39,7,11,8,8,2,6,8,10,9,3,0.64663,0.21124,13,25,14,24,14,14,3,9,4,5,0.14757,0.24507,0.59396,122.95,20,29,7,13,34,23,18,31,0,0,1.2972,1.1381
